Model,Translation Type,Shot Type,BLEU,rouge-1-f,rouge-1-p,rouge-1-r,rouge-2-f,rouge-2-p,rouge-2-r,rouge-3-f,rouge-3-p,rouge-3-r,rouge-4-f,rouge-4-p,rouge-4-r,rouge-l-f,rouge-l-p,rouge-l-r,rouge-w-1.2-f,rouge-w-1.2-p,rouge-w-1.2-r,rouge-s4-f,rouge-s4-p,rouge-s4-r,rouge-su4-f,rouge-su4-p,rouge-su4-r
internlm2_5-7b-chat-hf,zh-yue,0-shot,0.1695,0.4799,0.4370,0.5817,0.2699,0.2446,0.3307,0.1543,0.1390,0.1913,0.0904,0.0809,0.1136,0.4797,0.4368,0.5815,0.2671,0.2540,0.3070,0.2622,0.2375,0.3226,0.2987,0.2709,0.3666
internlm2_5-7b-chat-hf,zh-yue,5-shot,0.3487,0.6639,0.6305,0.7294,0.4795,0.4560,0.5263,0.3548,0.3378,0.3889,0.2688,0.2563,0.2940,0.6638,0.6304,0.7293,0.3586,0.3567,0.3751,0.4694,0.4461,0.5162,0.5022,0.4771,0.5524
qwen2-72b-hf,en-yue,0-shot,0.1905,0.3419,0.2555,0.8012,0.2073,0.1556,0.4816,0.1369,0.1032,0.3147,0.0946,0.0717,0.2144,0.3417,0.2553,0.8005,0.1554,0.1194,0.3435,0.2032,0.1525,0.4728,0.2262,0.1696,0.5279
qwen2-72b-hf,en-yue,5-shot,0.1458,0.1443,0.0797,0.8474,0.0893,0.0493,0.5284,0.0605,0.0333,0.3606,0.0426,0.0234,0.2558,0.1440,0.0795,0.8460,0.0662,0.0369,0.3608,0.0871,0.0480,0.5202,0.0965,0.0532,0.5752
qwen2-72b-hf,zh-yue,0-shot,0.1974,0.2454,0.1663,0.8683,0.1940,0.1310,0.6943,0.1592,0.1072,0.5776,0.1310,0.0876,0.4857,0.2454,0.1663,0.8682,0.1329,0.0921,0.4391,0.1874,0.1261,0.6842,0.1968,0.1325,0.7158
qwen2-72b-hf,zh-yue,5-shot,0.1108,0.0997,0.0537,0.9301,0.0864,0.0465,0.8136,0.0767,0.0413,0.7301,0.0683,0.0368,0.6567,0.0996,0.0537,0.9300,0.0544,0.0295,0.4676,0.0834,0.0449,0.8092,0.0859,0.0462,0.8300
gpt-4-0125,en-yue,0-shot,0.3442,0.7205,0.7085,0.7369,0.4567,0.4495,0.4668,0.3092,0.3047,0.3158,0.2159,0.2129,0.2203,0.7201,0.7082,0.7366,0.3260,0.3348,0.3196,0.4411,0.4341,0.4509,0.4878,0.4800,0.4988
gpt-4-0125,en-yue,5-shot,0.3738,0.7393,0.7325,0.7503,0.4857,0.4814,0.4929,0.3403,0.3374,0.3451,0.2431,0.2411,0.2464,0.7389,0.7321,0.7499,0.3336,0.3452,0.3246,0.4665,0.4623,0.4733,0.5122,0.5076,0.5198
gpt-4-0125,zh-yue,0-shot,0.6825,0.8711,0.8564,0.8878,0.7557,0.7435,0.7695,0.6642,0.6540,0.6757,0.5857,0.5771,0.5953,0.8711,0.8564,0.8878,0.4612,0.4758,0.4483,0.7456,0.7333,0.7596,0.7671,0.7543,0.7816
gpt-4-0125,zh-yue,5-shot,0.7565,0.8924,0.8814,0.9048,0.8010,0.7912,0.8119,0.7257,0.7171,0.7352,0.6599,0.6523,0.6682,0.8924,0.8814,0.9048,0.4714,0.4890,0.4558,0.7908,0.7809,0.8019,0.8083,0.7981,0.8196
gemma2-27b-it-hf,en-yue,0-shot,0.1252,0.1458,0.0935,0.5873,0.0723,0.0467,0.2918,0.0395,0.0257,0.1591,0.0226,0.0148,0.0904,0.1457,0.0935,0.5870,0.0700,0.0458,0.2622,0.0642,0.0415,0.2601,0.0778,0.0502,0.3155
gemma2-27b-it-hf,en-yue,5-shot,0.0869,0.0754,0.0486,0.4301,0.0303,0.0203,0.1713,0.0142,0.0100,0.0790,0.0070,0.0052,0.0377,0.0754,0.0486,0.4297,0.0380,0.0250,0.2002,0.0251,0.0171,0.1443,0.0335,0.0224,0.1926
gemma2-27b-it-hf,zh-yue,0-shot,0.1130,0.0916,0.0628,0.6463,0.0535,0.0369,0.3692,0.0331,0.0230,0.2245,0.0220,0.0152,0.1479,0.0916,0.0628,0.6462,0.0520,0.0366,0.3390,0.0457,0.0320,0.3158,0.0533,0.0371,0.3725
gemma2-27b-it-hf,zh-yue,5-shot,0.0856,0.0740,0.0526,0.4833,0.0337,0.0243,0.2070,0.0180,0.0130,0.1049,0.0106,0.0077,0.0597,0.0739,0.0526,0.4831,0.0428,0.0312,0.2616,0.0278,0.0204,0.1619,0.0354,0.0257,0.2171
llama-3_1-8b-instruct-hf,en-yue,0-shot,0.2525,0.6246,0.6306,0.6307,0.3448,0.3484,0.3478,0.2113,0.2138,0.2128,0.1331,0.1348,0.1336,0.6244,0.6305,0.6306,0.2872,0.3032,0.2783,0.3377,0.3415,0.3401,0.3857,0.3899,0.3887
llama-3_1-8b-instruct-hf,en-yue,5-shot,0.3199,0.6856,0.6851,0.6942,0.4201,0.4199,0.4252,0.2775,0.2776,0.2805,0.1889,0.1891,0.1908,0.6854,0.6849,0.6940,0.3113,0.3249,0.3024,0.4048,0.4046,0.4098,0.4518,0.4515,0.4574
llama-3_1-8b-instruct-hf,zh-yue,0-shot,0.4430,0.6990,0.6589,0.7953,0.5486,0.5170,0.6232,0.4421,0.4164,0.5021,0.3578,0.3370,0.4063,0.6988,0.6587,0.7950,0.3760,0.3709,0.4071,0.5320,0.5008,0.6064,0.5603,0.5275,0.6388
llama-3_1-8b-instruct-hf,zh-yue,5-shot,0.6134,0.8234,0.7978,0.8594,0.7002,0.6787,0.7298,0.6054,0.5871,0.6305,0.5272,0.5115,0.5487,0.8233,0.7977,0.8593,0.4379,0.4448,0.4356,0.6881,0.6666,0.7180,0.7113,0.6890,0.7423
ChatGPT,en-yue,0-shot,0.3320,0.7081,0.7120,0.7091,0.4452,0.4478,0.4458,0.2999,0.3017,0.3002,0.2075,0.2088,0.2076,0.7078,0.7117,0.7089,0.3209,0.3371,0.3082,0.4284,0.4308,0.4292,0.4752,0.4778,0.4760
ChatGPT,en-yue,5-shot,0.3678,0.7305,0.7313,0.7333,0.4804,0.4811,0.4821,0.3367,0.3373,0.3378,0.2405,0.2410,0.2411,0.7302,0.7310,0.7330,0.3305,0.3457,0.3181,0.4621,0.4627,0.4639,0.5071,0.5077,0.5091
ChatGPT,zh-yue,0-shot,0.6802,0.8648,0.8634,0.8674,0.7498,0.7487,0.7518,0.6581,0.6573,0.6598,0.5825,0.5819,0.5838,0.8647,0.8633,0.8673,0.4585,0.4808,0.4387,0.7395,0.7385,0.7415,0.7609,0.7598,0.7631
ChatGPT,zh-yue,5-shot,0.7362,0.8746,0.8501,0.9010,0.7858,0.7636,0.8098,0.7136,0.6932,0.7357,0.6508,0.6319,0.6711,0.8746,0.8501,0.9010,0.4624,0.4715,0.4540,0.7786,0.7559,0.8032,0.7950,0.7719,0.8200
SenseChat,en-yue,0-shot,0.3391,0.6700,0.6735,0.6727,0.4343,0.4365,0.4365,0.2996,0.3011,0.3013,0.2129,0.2140,0.2141,0.6695,0.6730,0.6722,0.3037,0.3190,0.2926,0.4160,0.4183,0.4177,0.4585,0.4610,0.4604
SenseChat,en-yue,5-shot,0.3904,0.7407,0.7461,0.7394,0.4966,0.5005,0.4956,0.3537,0.3567,0.3529,0.2573,0.2595,0.2567,0.7402,0.7456,0.7389,0.3344,0.3520,0.3202,0.4746,0.4783,0.4737,0.5192,0.5231,0.5182
SenseChat,zh-yue,0-shot,0.7278,0.8892,0.8914,0.8902,0.7860,0.7882,0.7857,0.7036,0.7057,0.7024,0.6331,0.6352,0.6318,0.8892,0.8914,0.8902,0.4710,0.4960,0.4500,0.7760,0.7783,0.7754,0.7954,0.7976,0.7950
SenseChat,zh-yue,5-shot,0.7765,0.9095,0.9112,0.9087,0.8186,0.8204,0.8176,0.7431,0.7449,0.7420,0.6765,0.6783,0.6752,0.9094,0.9110,0.9085,0.4800,0.5052,0.4577,0.8100,0.8119,0.8090,0.8271,0.8289,0.8261
internlm2_5-7b-hf,en-yue,0-shot,0.1215,0.2978,0.2720,0.4047,0.1254,0.1135,0.1740,0.0599,0.0540,0.0846,0.0288,0.0258,0.0415,0.2976,0.2718,0.4044,0.1431,0.1361,0.1854,0.1198,0.1087,0.1652,0.1494,0.1359,0.2051
internlm2_5-7b-hf,en-yue,5-shot,0.0604,0.1439,0.1473,0.1433,0.0803,0.0824,0.0799,0.0499,0.0513,0.0496,0.0322,0.0331,0.0319,0.1438,0.1473,0.1433,0.0663,0.0712,0.0632,0.0760,0.0779,0.0757,0.0873,0.0895,0.0870
internlm2_5-7b-hf,zh-yue,0-shot,0.2225,0.5104,0.4905,0.5849,0.3211,0.3091,0.3618,0.2105,0.2031,0.2351,0.1413,0.1366,0.1568,0.5100,0.4901,0.5845,0.2799,0.2813,0.3075,0.3100,0.2984,0.3481,0.3437,0.3307,0.3883
internlm2_5-7b-hf,zh-yue,5-shot,0.4178,0.6720,0.6509,0.7092,0.5258,0.5097,0.5531,0.4217,0.4090,0.4428,0.3425,0.3322,0.3589,0.6720,0.6509,0.7092,0.3602,0.3658,0.3626,0.5090,0.4929,0.5359,0.5366,0.5196,0.5654
llama-3-8b-instruct-hf,en-yue,0-shot,0.2168,0.3659,0.2789,0.5782,0.1919,0.1459,0.3046,0.1106,0.0840,0.1759,0.0666,0.0506,0.1059,0.3656,0.2786,0.5778,0.1719,0.1348,0.2577,0.1837,0.1393,0.2932,0.2140,0.1625,0.3410
llama-3-8b-instruct-hf,en-yue,5-shot,0.3019,0.6432,0.6253,0.6809,0.3873,0.3768,0.4096,0.2523,0.2455,0.2668,0.1685,0.1640,0.1781,0.6430,0.6251,0.6807,0.2937,0.2977,0.2981,0.3727,0.3623,0.3948,0.4180,0.4063,0.4427
llama-3-8b-instruct-hf,zh-yue,0-shot,0.3314,0.2669,0.1680,0.7912,0.2113,0.1326,0.6349,0.1718,0.1076,0.5216,0.1399,0.0874,0.4298,0.2669,0.1680,0.7911,0.1466,0.0941,0.4039,0.2023,0.1264,0.6214,0.2127,0.1330,0.6505
llama-3-8b-instruct-hf,zh-yue,5-shot,0.4353,0.5605,0.4513,0.8526,0.4695,0.3783,0.7168,0.4018,0.3236,0.6160,0.3457,0.2786,0.5321,0.5604,0.4513,0.8526,0.3017,0.2517,0.4325,0.4573,0.3677,0.7050,0.4743,0.3814,0.7303
qwen2-7b-hf,en-yue,0-shot,0.2126,0.5091,0.4542,0.6454,0.2715,0.2427,0.3432,0.1581,0.1418,0.1987,0.0960,0.0863,0.1200,0.5085,0.4537,0.6446,0.2341,0.2170,0.2827,0.2662,0.2377,0.3369,0.3067,0.2738,0.3886
qwen2-7b-hf,en-yue,5-shot,0.3162,0.6862,0.6828,0.6982,0.4208,0.4190,0.4274,0.2776,0.2764,0.2817,0.1858,0.1850,0.1885,0.6858,0.6824,0.6978,0.3113,0.3234,0.3039,0.4069,0.4051,0.4137,0.4537,0.4516,0.4614
qwen2-7b-hf,zh-yue,0-shot,0.2516,0.4707,0.3924,0.7441,0.3317,0.2768,0.5222,0.2432,0.2029,0.3851,0.1840,0.1534,0.2937,0.4706,0.3923,0.7440,0.2553,0.2210,0.3818,0.3186,0.2652,0.5071,0.3441,0.2865,0.5476
qwen2-7b-hf,zh-yue,5-shot,0.5014,0.6988,0.6452,0.8472,0.5839,0.5397,0.7059,0.4991,0.4615,0.6037,0.4296,0.3975,0.5199,0.6986,0.6450,0.8471,0.3721,0.3586,0.4293,0.5720,0.5283,0.6949,0.5933,0.5479,0.7209
llama-3-70b-instruct-hf,en-yue,0-shot,0.2811,0.5861,0.5519,0.6645,0.3393,0.3197,0.3843,0.2168,0.2044,0.2458,0.1419,0.1338,0.1609,0.5858,0.5516,0.6641,0.2677,0.2623,0.2907,0.3315,0.3122,0.3763,0.3740,0.3522,0.4245
llama-3-70b-instruct-hf,en-yue,5-shot,0.3458,0.6176,0.5438,0.7224,0.3948,0.3475,0.4621,0.2705,0.2381,0.3165,0.1887,0.1663,0.2206,0.6172,0.5435,0.7220,0.2812,0.2572,0.3137,0.3799,0.3340,0.4453,0.4195,0.3689,0.4917
llama-3-70b-instruct-hf,zh-yue,0-shot,0.3777,0.2712,0.1722,0.7485,0.2180,0.1385,0.6038,0.1795,0.1142,0.4988,0.1500,0.0956,0.4191,0.2712,0.1722,0.7485,0.1486,0.0961,0.3816,0.2101,0.1331,0.5940,0.2199,0.1393,0.6204
llama-3-70b-instruct-hf,zh-yue,5-shot,0.6016,0.5936,0.4730,0.8703,0.5159,0.4111,0.7587,0.4528,0.3609,0.6682,0.3991,0.3181,0.5906,0.5936,0.4730,0.8702,0.3189,0.2631,0.4408,0.5035,0.4001,0.7474,0.5183,0.4119,0.7685
