Model,Reference,Precision,Recall,F1
gpt-4_5-shot,TruthfulQA_yue_incorrect.txt,0.681403,0.692072,0.685198
gpt-4o_0-shot,TruthfulQA_yue_best.txt,0.614691,0.720618,0.662494
gpt-4o_0-shot,TruthfulQA_yue_correct.txt,0.661923,0.715931,0.686813
gpt-4o_0-shot,TruthfulQA_yue_incorrect.txt,0.645671,0.706795,0.673942
gpt-4o_5-shot,TruthfulQA_yue_best.txt,0.681693,0.754453,0.715094
gpt-4o_5-shot,TruthfulQA_yue_correct.txt,0.712397,0.721874,0.715867
gpt-4o_5-shot,TruthfulQA_yue_incorrect.txt,0.681540,0.699314,0.688883
internlm2-20b-hf_0-shot,TruthfulQA_yue_best.txt,0.680755,0.684449,0.680821
internlm2-20b-hf_0-shot,TruthfulQA_yue_correct.txt,0.695158,0.643198,0.666523
internlm2-20b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.694614,0.645196,0.667351
internlm2-20b-hf_5-shot,TruthfulQA_yue_best.txt,0.187740,0.223412,0.202738
internlm2-20b-hf_5-shot,TruthfulQA_yue_correct.txt,0.207195,0.216599,0.211028
internlm2-20b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.207177,0.217359,0.211512
internlm2_5-20b-chat-turbomind_0-shot,TruthfulQA_yue_best.txt,0.535604,0.673275,0.596076
internlm2_5-20b-chat-turbomind_0-shot,TruthfulQA_yue_correct.txt,0.585703,0.682566,0.629853
internlm2_5-20b-chat-turbomind_0-shot,TruthfulQA_yue_incorrect.txt,0.574414,0.678235,0.621526
internlm2_5-20b-chat-turbomind_5-shot,TruthfulQA_yue_best.txt,0.590465,0.708321,0.643238
internlm2_5-20b-chat-turbomind_5-shot,TruthfulQA_yue_correct.txt,0.638111,0.706903,0.669870
internlm2_5-20b-chat-turbomind_5-shot,TruthfulQA_yue_incorrect.txt,0.622015,0.696911,0.656658
internlm2_5-20b-turbomind_0-shot,TruthfulQA_yue_best.txt,0.612248,0.699808,0.651789
internlm2_5-20b-turbomind_0-shot,TruthfulQA_yue_correct.txt,0.651100,0.686623,0.666982
internlm2_5-20b-turbomind_0-shot,TruthfulQA_yue_incorrect.txt,0.643077,0.685865,0.662488
internlm2_5-20b-turbomind_5-shot,TruthfulQA_yue_best.txt,0.666025,0.726329,0.692989
internlm2_5-20b-turbomind_5-shot,TruthfulQA_yue_correct.txt,0.691546,0.689431,0.688646
internlm2_5-20b-turbomind_5-shot,TruthfulQA_yue_incorrect.txt,0.677171,0.683049,0.678377
internlm2_5-7b-chat-hf_0-shot,TruthfulQA_yue_best.txt,0.546590,0.675454,0.603472
internlm2_5-7b-chat-hf_0-shot,TruthfulQA_yue_correct.txt,0.595882,0.680782,0.634841
internlm2_5-7b-chat-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.587288,0.679410,0.629396
internlm2_5-7b-chat-hf_5-shot,TruthfulQA_yue_best.txt,0.602583,0.710513,0.651263
internlm2_5-7b-chat-hf_5-shot,TruthfulQA_yue_correct.txt,0.648518,0.707847,0.676078
internlm2_5-7b-chat-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.635110,0.703138,0.666789
internlm2_5-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.595066,0.690084,0.637188
internlm2_5-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.643636,0.683080,0.661115
internlm2_5-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.637748,0.684166,0.658852
internlm2_5-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.643119,0.712545,0.673534
internlm2_5-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.676083,0.682100,0.677262
internlm2_5-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.660057,0.672946,0.664809
internlm2_5-7b-turbomind_0-shot,TruthfulQA_yue_best.txt,0.589312,0.687400,0.632514
internlm2_5-7b-turbomind_0-shot,TruthfulQA_yue_correct.txt,0.639104,0.680438,0.657463
internlm2_5-7b-turbomind_0-shot,TruthfulQA_yue_incorrect.txt,0.635232,0.683190,0.657040
internlm2_5-7b-turbomind_5-shot,TruthfulQA_yue_best.txt,0.631835,0.709416,0.665805
internlm2_5-7b-turbomind_5-shot,TruthfulQA_yue_correct.txt,0.666466,0.680434,0.671415
internlm2_5-7b-turbomind_5-shot,TruthfulQA_yue_incorrect.txt,0.653352,0.673161,0.661428
internlm2-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.633844,0.656852,0.642041
internlm2-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.659517,0.622212,0.638109
internlm2-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.664513,0.628264,0.643934
internlm2-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.329201,0.355485,0.339394
internlm2-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.339403,0.329989,0.333320
internlm2-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.330996,0.324574,0.326551
internlm2-7b-turbomind_0-shot,TruthfulQA_yue_best.txt,0.640728,0.659865,0.647664
internlm2-7b-turbomind_0-shot,TruthfulQA_yue_correct.txt,0.665921,0.625208,0.643041
internlm2-7b-turbomind_0-shot,TruthfulQA_yue_incorrect.txt,0.668960,0.631216,0.647616
internlm2-7b-turbomind_5-shot,TruthfulQA_yue_best.txt,0.617809,0.677770,0.641852
internlm2-7b-turbomind_5-shot,TruthfulQA_yue_correct.txt,0.645281,0.633829,0.636775
internlm2-7b-turbomind_5-shot,TruthfulQA_yue_incorrect.txt,0.634670,0.628170,0.628986
internlm2-chat-20b-hf_0-shot,TruthfulQA_yue_best.txt,0.505978,0.652344,0.569401
internlm2-chat-20b-hf_0-shot,TruthfulQA_yue_correct.txt,0.553524,0.658849,0.601091
internlm2-chat-20b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.545482,0.654433,0.594556
internlm2-chat-20b-hf_5-shot,TruthfulQA_yue_best.txt,0.627290,0.708863,0.662854
internlm2-chat-20b-hf_5-shot,TruthfulQA_yue_correct.txt,0.654785,0.679325,0.664254
internlm2-chat-20b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.635239,0.666986,0.648165
internlm2-chat-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.531393,0.662007,0.588676
internlm2-chat-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.578726,0.665530,0.618276
internlm2-chat-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.569576,0.661668,0.611347
internlm2-chat-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.623494,0.692980,0.653197
internlm2-chat-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.650977,0.664768,0.654673
internlm2-chat-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.635456,0.653768,0.641083
internlm-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.469509,0.592775,0.520951
internlm-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.544887,0.587320,0.563311
internlm-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.560120,0.602935,0.579259
internlm-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.446232,0.591072,0.506496
internlm-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.528953,0.592120,0.557331
internlm-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.538424,0.603732,0.568116
internlm-7b-turbomind_0-shot,TruthfulQA_yue_best.txt,0.473772,0.594858,0.524454
internlm-7b-turbomind_0-shot,TruthfulQA_yue_correct.txt,0.550295,0.589085,0.567116
internlm-7b-turbomind_0-shot,TruthfulQA_yue_incorrect.txt,0.564002,0.605260,0.582340
internlm-7b-turbomind_5-shot,TruthfulQA_yue_best.txt,0.445196,0.590830,0.505632
internlm-7b-turbomind_5-shot,TruthfulQA_yue_correct.txt,0.527409,0.590572,0.555712
internlm-7b-turbomind_5-shot,TruthfulQA_yue_incorrect.txt,0.537364,0.602503,0.566993
llama-2-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.478612,0.576150,0.520991
llama-2-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.562727,0.583900,0.571613
llama-2-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.585486,0.606936,0.594791
llama-2-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.464108,0.572484,0.511200
llama-2-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.546162,0.585065,0.563641
llama-2-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.566701,0.603998,0.583799
llama-3_1-70b-instruct-hf_0-shot,TruthfulQA_yue_best.txt,0.640571,0.710568,0.671924
llama-3_1-70b-instruct-hf_0-shot,TruthfulQA_yue_correct.txt,0.678453,0.691754,0.683127
llama-3_1-70b-instruct-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.669880,0.690176,0.677973
llama-3_1-70b-instruct-hf_5-shot,TruthfulQA_yue_best.txt,0.755455,0.762493,0.757987
llama-3_1-70b-instruct-hf_5-shot,TruthfulQA_yue_correct.txt,0.737921,0.682396,0.708039
llama-3_1-70b-instruct-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.707298,0.662059,0.682745
llama-3_1-8b-hf_0-shot,TruthfulQA_yue_best.txt,0.447329,0.621832,0.518008
llama-3_1-8b-hf_0-shot,TruthfulQA_yue_correct.txt,0.526425,0.626005,0.569824
llama-3_1-8b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.533012,0.634082,0.577430
llama-3_1-8b-hf_5-shot,TruthfulQA_yue_best.txt,0.419151,0.582000,0.485364
llama-3_1-8b-hf_5-shot,TruthfulQA_yue_correct.txt,0.502128,0.583193,0.538079
llama-3_1-8b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.511818,0.592492,0.548008
llama-3_1-8b-instruct-hf_0-shot,TruthfulQA_yue_best.txt,0.594027,0.696280,0.639719
llama-3_1-8b-instruct-hf_0-shot,TruthfulQA_yue_correct.txt,0.646227,0.697805,0.669693
llama-3_1-8b-instruct-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.637001,0.695354,0.663751
llama-3_1-8b-instruct-hf_5-shot,TruthfulQA_yue_best.txt,0.678899,0.738796,0.706352
llama-3_1-8b-instruct-hf_5-shot,TruthfulQA_yue_correct.txt,0.703898,0.704214,0.702759
llama-3_1-8b-instruct-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.678508,0.688228,0.682217
llama-3-70b-instruct-hf_0-shot,TruthfulQA_yue_best.txt,0.580459,0.692892,0.630771
llama-3-70b-instruct-hf_0-shot,TruthfulQA_yue_correct.txt,0.631472,0.695296,0.660948
llama-3-70b-instruct-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.621867,0.693195,0.654847
llama-3-70b-instruct-hf_5-shot,TruthfulQA_yue_best.txt,0.726071,0.755485,0.739739
llama-3-70b-instruct-hf_5-shot,TruthfulQA_yue_correct.txt,0.739216,0.702670,0.719514
llama-3-70b-instruct-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.705577,0.679254,0.691013
llama-3-8b-hf_0-shot,TruthfulQA_yue_best.txt,0.446618,0.598547,0.506709
llama-3-8b-hf_0-shot,TruthfulQA_yue_correct.txt,0.526694,0.593015,0.554741
llama-3-8b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.540960,0.607892,0.570156
llama-3-8b-hf_5-shot,TruthfulQA_yue_best.txt,0.428545,0.574338,0.488868
llama-3-8b-hf_5-shot,TruthfulQA_yue_correct.txt,0.512376,0.575409,0.540687
llama-3-8b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.524202,0.589253,0.553768
llama-3-8b-instruct-hf_0-shot,TruthfulQA_yue_best.txt,0.552330,0.679264,0.607893
llama-3-8b-instruct-hf_0-shot,TruthfulQA_yue_correct.txt,0.608309,0.685833,0.643720
llama-3-8b-instruct-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.601577,0.687202,0.640676
llama-3-8b-instruct-hf_5-shot,TruthfulQA_yue_best.txt,0.696383,0.742605,0.717697
llama-3-8b-instruct-hf_5-shot,TruthfulQA_yue_correct.txt,0.717717,0.701245,0.708214
llama-3-8b-instruct-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.689599,0.683552,0.685371
mistral-large-2-instruct-hf_0-shot,TruthfulQA_yue_best.txt,0.633879,0.721369,0.673707
mistral-large-2-instruct-hf_0-shot,TruthfulQA_yue_correct.txt,0.675772,0.708506,0.690592
mistral-large-2-instruct-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.664539,0.706817,0.683986
mistral-large-2-instruct-hf_5-shot,TruthfulQA_yue_best.txt,0.712788,0.758558,0.734045
mistral-large-2-instruct-hf_5-shot,TruthfulQA_yue_correct.txt,0.731841,0.712033,0.720699
mistral-large-2-instruct-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.703452,0.693801,0.697373
mixtral-8x22b-instruct-v0.1-hf_0-shot,TruthfulQA_yue_best.txt,0.603389,0.697810,0.646270
mixtral-8x22b-instruct-v0.1-hf_0-shot,TruthfulQA_yue_correct.txt,0.647714,0.689685,0.667169
mixtral-8x22b-instruct-v0.1-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.639012,0.689858,0.662694
mixtral-8x22b-instruct-v0.1-hf_5-shot,TruthfulQA_yue_best.txt,0.635180,0.722632,0.674325
mixtral-8x22b-instruct-v0.1-hf_5-shot,TruthfulQA_yue_correct.txt,0.670880,0.693236,0.680465
mixtral-8x22b-instruct-v0.1-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.647971,0.677540,0.661072
phi-3-medium-128k-instruct-hf_0-shot,TruthfulQA_yue_best.txt,0.622515,0.702449,0.658360
phi-3-medium-128k-instruct-hf_0-shot,TruthfulQA_yue_correct.txt,0.662282,0.688798,0.673596
phi-3-medium-128k-instruct-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.654613,0.690399,0.670708
phi-3-medium-128k-instruct-hf_5-shot,TruthfulQA_yue_best.txt,0.629640,0.719027,0.668063
phi-3-medium-128k-instruct-hf_5-shot,TruthfulQA_yue_correct.txt,0.667503,0.688725,0.675683
phi-3-medium-128k-instruct-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.648968,0.677155,0.660679
qwen1.5-110b-hf_0-shot,TruthfulQA_yue_best.txt,0.669523,0.718589,0.691423
qwen1.5-110b-hf_0-shot,TruthfulQA_yue_correct.txt,0.700194,0.688762,0.692869
qwen1.5-110b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.695087,0.692197,0.692196
qwen1.5-110b-hf_5-shot,TruthfulQA_yue_best.txt,0.722671,0.748968,0.733945
qwen1.5-110b-hf_5-shot,TruthfulQA_yue_correct.txt,0.730948,0.690580,0.708659
qwen1.5-110b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.703791,0.673331,0.686656
qwen1.5-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.630658,0.690637,0.656499
qwen1.5-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.667773,0.665349,0.664541
qwen1.5-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.666707,0.671732,0.667593
qwen1.5-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.556345,0.646939,0.594814
qwen1.5-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.609625,0.627035,0.615889
qwen1.5-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.608648,0.629983,0.617404
qwen2_5-72b-instruct-hf_0-shot,TruthfulQA_yue_best.txt,0.583827,0.712153,0.640972
qwen2_5-72b-instruct-hf_0-shot,TruthfulQA_yue_correct.txt,0.633011,0.711930,0.669398
qwen2_5-72b-instruct-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.616432,0.699780,0.654881
qwen2.5-72b-instruct-hf_0-shot,TruthfulQA_yue_best.txt,0.583827,0.712153,0.640972
qwen2.5-72b-instruct-hf_0-shot,TruthfulQA_yue_correct.txt,0.633011,0.711930,0.669398
qwen2.5-72b-instruct-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.616432,0.699780,0.654881
qwen2_5-72b-instruct-hf_5-shot,TruthfulQA_yue_best.txt,0.636220,0.737012,0.681876
qwen2_5-72b-instruct-hf_5-shot,TruthfulQA_yue_correct.txt,0.675252,0.718948,0.695295
qwen2_5-72b-instruct-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.652722,0.701140,0.674949
qwen2.5-72b-instruct-hf_5-shot,TruthfulQA_yue_best.txt,0.636220,0.737012,0.681876
qwen2.5-72b-instruct-hf_5-shot,TruthfulQA_yue_correct.txt,0.675252,0.718948,0.695295
qwen2.5-72b-instruct-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.652722,0.701140,0.674949
qwen2.5-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.627599,0.692674,0.655802
qwen2.5-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.659493,0.666793,0.660734
qwen2.5-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.656640,0.670324,0.661282
qwen2.5-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.483463,0.634132,0.546162
qwen2.5-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.553655,0.635367,0.589701
qwen2.5-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.561116,0.642930,0.597658
qwen2-72b-hf_0-shot,TruthfulQA_yue_best.txt,0.561512,0.700973,0.622230
qwen2-72b-hf_0-shot,TruthfulQA_yue_correct.txt,0.614982,0.706360,0.656227
qwen2-72b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.600638,0.697688,0.644426
qwen2-72b-hf_5-shot,TruthfulQA_yue_best.txt,0.600478,0.721166,0.653190
qwen2-72b-hf_5-shot,TruthfulQA_yue_correct.txt,0.649756,0.711321,0.677202
qwen2-72b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.629582,0.697772,0.660277
qwen2-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.593692,0.698898,0.641100
qwen2-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.635127,0.692244,0.661389
qwen2-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.622053,0.685043,0.651018
qwen2-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.618151,0.720717,0.664115
qwen2-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.655621,0.703064,0.677053
qwen2-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.632548,0.683757,0.655560
qwen-7b-hf_0-shot,TruthfulQA_yue_best.txt,0.464272,0.572561,0.510294
qwen-7b-hf_0-shot,TruthfulQA_yue_correct.txt,0.500957,0.534984,0.515710
qwen-7b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.514417,0.537888,0.524536
qwen-7b-hf_5-shot,TruthfulQA_yue_best.txt,0.437321,0.558076,0.488199
qwen-7b-hf_5-shot,TruthfulQA_yue_correct.txt,0.478536,0.520627,0.497029
qwen-7b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.496154,0.523937,0.508211
SenseChat-5-Cantonese_0-shot,TruthfulQA_yue_best.txt,0.675183,0.708311,0.689337
SenseChat-5-Cantonese_0-shot,TruthfulQA_yue_correct.txt,0.698393,0.675011,0.684251
SenseChat-5-Cantonese_0-shot,TruthfulQA_yue_incorrect.txt,0.695644,0.675810,0.683289
SenseChat-5-Cantonese_5-shot,TruthfulQA_yue_best.txt,0.726053,0.743921,0.733759
SenseChat-5-Cantonese_5-shot,TruthfulQA_yue_correct.txt,0.724966,0.679585,0.700233
SenseChat-5-Cantonese_5-shot,TruthfulQA_yue_incorrect.txt,0.698857,0.661161,0.678019
yi-1.5-34b-chat-hf_0-shot,TruthfulQA_yue_best.txt,0.606207,0.709161,0.652543
yi-1.5-34b-chat-hf_0-shot,TruthfulQA_yue_correct.txt,0.651231,0.704792,0.675700
yi-1.5-34b-chat-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.638479,0.699950,0.666701
yi-1.5-34b-chat-hf_5-shot,TruthfulQA_yue_best.txt,0.635741,0.730354,0.678831
yi-1.5-34b-chat-hf_5-shot,TruthfulQA_yue_correct.txt,0.676667,0.716474,0.694951
yi-1.5-34b-chat-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.655171,0.702263,0.676759
yi-1.5-6b-hf_0-shot,TruthfulQA_yue_best.txt,0.339793,0.442264,0.382165
yi-1.5-6b-hf_0-shot,TruthfulQA_yue_correct.txt,0.404621,0.442905,0.421539
yi-1.5-6b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.415620,0.454234,0.433087
yi-1.5-6b-hf_5-shot,TruthfulQA_yue_best.txt,0.420850,0.575436,0.484268
yi-1.5-6b-hf_5-shot,TruthfulQA_yue_correct.txt,0.507005,0.577666,0.538490
yi-1.5-6b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.518514,0.589556,0.550734
yi-6b-hf_0-shot,TruthfulQA_yue_best.txt,0.434653,0.572906,0.491321
yi-6b-hf_0-shot,TruthfulQA_yue_correct.txt,0.507847,0.562085,0.531572
yi-6b-hf_0-shot,TruthfulQA_yue_incorrect.txt,0.521490,0.573759,0.544899
yi-6b-hf_5-shot,TruthfulQA_yue_best.txt,0.426617,0.578878,0.489261
yi-6b-hf_5-shot,TruthfulQA_yue_correct.txt,0.512063,0.579318,0.542069
yi-6b-hf_5-shot,TruthfulQA_yue_incorrect.txt,0.523565,0.591467,0.554376
