Model,bleu-best(0-shot),bleu-correct(0-shot),bleu-incorrect(0-shot),rouge-1-f(0-shot),rouge-1-p(0-shot),rouge-1-r(0-shot),rouge-2-f(0-shot),rouge-2-p(0-shot),rouge-2-r(0-shot),rouge-3-f(0-shot),rouge-3-p(0-shot),rouge-3-r(0-shot),rouge-4-f(0-shot),rouge-4-p(0-shot),rouge-4-r(0-shot),rouge-l-f(0-shot),rouge-l-p(0-shot),rouge-l-r(0-shot),rouge-w-1.2-f(0-shot),rouge-w-1.2-p(0-shot),rouge-w-1.2-r(0-shot),rouge-s4-f(0-shot),rouge-s4-p(0-shot),rouge-s4-r(0-shot),rouge-su4-f(0-shot),rouge-su4-p(0-shot),rouge-su4-r(0-shot),bleu-best(5-shot),bleu-correct(5-shot),bleu-incorrect(5-shot),rouge-1-f(5-shot),rouge-1-p(5-shot),rouge-1-r(5-shot),rouge-2-f(5-shot),rouge-2-p(5-shot),rouge-2-r(5-shot),rouge-3-f(5-shot),rouge-3-p(5-shot),rouge-3-r(5-shot),rouge-4-f(5-shot),rouge-4-p(5-shot),rouge-4-r(5-shot),rouge-l-f(5-shot),rouge-l-p(5-shot),rouge-l-r(5-shot),rouge-w-1.2-f(5-shot),rouge-w-1.2-p(5-shot),rouge-w-1.2-r(5-shot),rouge-s4-f(5-shot),rouge-s4-p(5-shot),rouge-s4-r(5-shot),rouge-su4-f(5-shot),rouge-su4-p(5-shot),rouge-su4-r(5-shot)
ERNIE-Lite,0.0904882412,0.1223099341,0.0971867362,0.2058025387,0.1717915248,0.3836115557,0.0879029661,0.0748832987,0.1572489876,0.0442246865,0.0382711339,0.0761519403,0.0239193139,0.0211830031,0.0390624626,0.2057824341,0.1717800302,0.3835270421,0.1559061964,0.1365049955,0.2690371733,0.0621579418,0.0541504535,0.1162908624,0.0861438778,0.0742105425,0.1660978372,0.0943660110,0.1226734810,0.0939471143,0.2069279939,0.1512162104,0.4588252368,0.0935731009,0.0691928097,0.2016828491,0.0486243347,0.0364510202,0.1019564937,0.0277797199,0.0209660178,0.0572996890,0.2068693486,0.1511760970,0.4587024522,0.1547274003,0.1175978679,0.3147677185,0.0664796221,0.0489397328,0.1537312138,0.0896142968,0.0654722517,0.2115964047
qwen1.5-7b-hf,0.0979948907,0.1340509348,0.1138695217,0.2055178467,0.1764483146,0.4047166909,0.0990852764,0.0859886870,0.1902742171,0.0539586885,0.0475773721,0.1009806755,0.0306562606,0.0274641439,0.0563526866,0.2054389816,0.1763816011,0.4045622934,0.1546615749,0.1395099908,0.2833260657,0.0721861476,0.0638048592,0.1438022892,0.0951695526,0.0837218351,0.1934630883,0.0818891234,0.1040675478,0.0842847758,0.1245987306,0.1116432340,0.3802483821,0.0647802111,0.0601443337,0.1823958881,0.0370058687,0.0359254416,0.0983172728,0.0217531125,0.0224192320,0.0569103857,0.1245388532,0.1115891502,0.3799896437,0.0937820879,0.0889330494,0.2671652124,0.0483600910,0.0471518055,0.1394690113,0.0618283374,0.0588195002,0.1868533222
yi-6b-hf,0.0395109698,0.0505139481,0.0427089754,0.0137164488,0.0085014499,0.2372528400,0.0051491870,0.0033277114,0.0991306623,0.0023421841,0.0016121924,0.0478432352,0.0012298251,0.0009482962,0.0239947538,0.0136955931,0.0084900941,0.2368979674,0.0115028724,0.0073398730,0.1735983693,0.0030843549,0.0020075846,0.0731791656,0.0048294378,0.0030821067,0.1059782145,0.0497924707,0.0599015545,0.0528872218,0.0106691208,0.0054401795,0.3294333682,0.0043654428,0.0022230999,0.1470819617,0.0021950372,0.0011171508,0.0771661419,0.0011926614,0.0006066760,0.0431640100,0.0106565015,0.0054336937,0.3291770125,0.0083821893,0.0042829378,0.2340866922,0.0028506910,0.0014495578,0.1101621277,0.0040781233,0.0020741555,0.1547183117
llama-2-7b-hf,0.0536343326,0.0642404119,0.0574269961,0.0348663124,0.0186645498,0.3188788825,0.0149441716,0.0079756464,0.1459454044,0.0071235300,0.0037920586,0.0732326296,0.0035242396,0.0018676608,0.0381431633,0.0348190477,0.0186388985,0.3185521090,0.0276432750,0.0149077530,0.2296444416,0.0096446076,0.0051132185,0.1087682164,0.0136102654,0.0072228466,0.1508078744,0.0552717328,0.0652252784,0.0568840468,0.0357510766,0.0191268863,0.3204502866,0.0144634517,0.0077058015,0.1388197400,0.0072941680,0.0038811065,0.0723371960,0.0039569482,0.0021009291,0.0404506235,0.0357083604,0.0191036451,0.3201064087,0.0280216318,0.0150952993,0.2287463271,0.0094436954,0.0050066210,0.1027373188,0.0136313295,0.0072323906,0.1471087308
internlm2_5-7b-turbomind,0.0826818763,0.1045750075,0.0892573810,0.1438706936,0.1012424711,0.4848078295,0.0650460510,0.0462136581,0.2237022877,0.0343820361,0.0246510543,0.1189107711,0.0192218509,0.0138982423,0.0666112991,0.1437227703,0.1011377169,0.4842987327,0.1067814117,0.0776349379,0.3304646967,0.0475257527,0.0339353031,0.1790289788,0.0632424394,0.0449568446,0.2375175993,0.1059581826,0.1358378398,0.0980975785,0.2058777019,0.1646082511,0.4416098479,0.0991078122,0.0805209202,0.2042347626,0.0549457716,0.0451504657,0.1104962089,0.0328251954,0.0274805657,0.0639558815,0.2057783108,0.1645348149,0.4413743285,0.1530740491,0.1283224071,0.3031893443,0.0736932072,0.0603985443,0.1611115735,0.0963133129,0.0784879049,0.2149089704
mistral-large-2-instruct-hf,0.1000889962,0.1301390033,0.1059937597,0.1973130077,0.1413752471,0.5388444945,0.0945923943,0.0695533725,0.2566859014,0.0528526452,0.0398394370,0.1423147876,0.0305936887,0.0237717171,0.0816913500,0.1971837987,0.1412662974,0.5386741106,0.1441160958,0.1068818541,0.3614541692,0.0704871080,0.0523713502,0.2057007311,0.0911437272,0.0668709738,0.2690254279,0.1413723202,0.1860870780,0.1262141596,0.3139224117,0.2678276172,0.4844297721,0.1600834784,0.1385069883,0.2454974312,0.0936848148,0.0822453380,0.1416342458,0.0583288605,0.0509288646,0.0873652118,0.3138219582,0.2677415259,0.4842728882,0.2305499313,0.2086167255,0.3281224847,0.1231364202,0.1085246370,0.1965534697,0.1565017701,0.1377083677,0.2509480023
phi-3-medium-128k-instruct-hf,0.0934274858,0.1200184225,0.1022567553,0.1870299445,0.1425309136,0.4867751693,0.0878166557,0.0678205769,0.2263052124,0.0470343227,0.0365823271,0.1185399458,0.0265909986,0.0209876616,0.0656427927,0.1869962152,0.1425114034,0.4866421635,0.1387395990,0.1101565091,0.3323629850,0.0650118707,0.0505035523,0.1794239134,0.0852652391,0.0658805638,0.2377940463,0.1097902778,0.1372240491,0.1039810840,0.2201191686,0.1782404026,0.4884431001,0.1036290456,0.0845833830,0.2291488247,0.0567526019,0.0468476817,0.1239859290,0.0333804552,0.0277596250,0.0713137691,0.2200086642,0.1781448538,0.4881546687,0.1626496911,0.1379467349,0.3327980805,0.0762859475,0.0624259736,0.1795956693,0.1009793700,0.0823382764,0.2398421777
qwen2_5-72b-instruct-hf,0.0779625251,0.0964018593,0.0818748158,0.1304677734,0.0758464273,0.6336526400,0.0567198361,0.0328818498,0.2858944444,0.0285212008,0.0164988099,0.1486789733,0.0150804240,0.0086754728,0.0797914720,0.1303184769,0.0757506505,0.6331270674,0.0938691640,0.0554995942,0.4154355203,0.0403951518,0.0231468275,0.2298147982,0.0545096613,0.0312597845,0.3075448539,0.1017975753,0.1286981590,0.0981588326,0.2024826771,0.1417130466,0.5893581298,0.1006558373,0.0738789129,0.2798870466,0.0572195598,0.0445275354,0.1527189678,0.0340960271,0.0264171517,0.0877643500,0.2022935635,0.1415746161,0.5888540733,0.1473349325,0.1077568141,0.3892853147,0.0744381073,0.0559241726,0.2239251912,0.0954052853,0.0701187965,0.2935844221
yi-1.5-6b-hf,0.0381646456,0.0459843468,0.0414919687,0.0120666644,0.0073746813,0.2549464686,0.0054783284,0.0033885996,0.1200409990,0.0029141295,0.0018355426,0.0634378360,0.0016676966,0.0010577527,0.0341361561,0.0120558717,0.0073691495,0.2547015611,0.0094772918,0.0059164325,0.1811285862,0.0037026475,0.0022901291,0.0907214847,0.0050490729,0.0031263177,0.1231979125,0.0514612388,0.0615471321,0.0534581724,0.0104376493,0.0053216812,0.3236448231,0.0040429810,0.0020589206,0.1371297220,0.0019958000,0.0010159896,0.0701544957,0.0010464892,0.0005326255,0.0370462016,0.0104285435,0.0053170090,0.3234446024,0.0082505237,0.0042151178,0.2320348846,0.0025994325,0.0013219395,0.1006215687,0.0038321174,0.0019490896,0.1461616252
internlm2-chat-7b-hf,0.0639552729,0.0767693320,0.0669618836,0.0548675812,0.0330335661,0.5396947832,0.0245654941,0.0156823236,0.2378886179,0.0121108059,0.0081641932,0.1150302801,0.0064611614,0.0045271510,0.0614526010,0.0547771355,0.0329780372,0.5391897286,0.0408407632,0.0250049860,0.3641765393,0.0171496650,0.0113085979,0.1870473543,0.0229467677,0.0146654024,0.2539796561,0.0941229488,0.1203733173,0.0916800970,0.1677215692,0.1537853559,0.4494185412,0.0873129691,0.0813269727,0.2111177319,0.0506656610,0.0486903335,0.1099788404,0.0301765060,0.0284340026,0.0611707008,0.1676926403,0.1537687048,0.4492749755,0.1269233673,0.1248677036,0.3067573964,0.0648617527,0.0623428186,0.1629034955,0.0829784592,0.0788364810,0.2174016067
llama-3_1-8b-hf,0.0571744987,0.0655847940,0.0611390278,0.0147981638,0.0075386384,0.4763142733,0.0062505275,0.0031807679,0.2178605539,0.0031294482,0.0015910657,0.1176503950,0.0016834978,0.0008552077,0.0666984785,0.0147831331,0.0075309495,0.4759443095,0.0110845513,0.0056582520,0.3229193979,0.0045790756,0.0023261099,0.1855144907,0.0061223986,0.0031111005,0.2414636000,0.0494976897,0.0593687870,0.0516349071,0.0100731068,0.0051269538,0.3398589573,0.0038837109,0.0019740141,0.1454728840,0.0018920062,0.0009608566,0.0771309942,0.0010184037,0.0005167946,0.0445097710,0.0100647496,0.0051226680,0.3396807245,0.0078418512,0.0039987850,0.2398283199,0.0026060161,0.0013226894,0.1141407553,0.0037710653,0.0019146079,0.1600659329
llama-3_1-70b-instruct-hf,0.1041572681,0.1429592647,0.1078489273,0.2105477856,0.1746215103,0.4844548067,0.1057361350,0.0898788359,0.2392096947,0.0606075347,0.0513681205,0.1344574410,0.0364802707,0.0313957956,0.0783270538,0.2103205050,0.1744360396,0.4840689202,0.1563801509,0.1370613643,0.3278022835,0.0787815023,0.0686587100,0.1933585477,0.1008604534,0.0867627599,0.2482218756,0.1535793711,0.2053647633,0.1237730482,0.3472899216,0.3603259138,0.3903879203,0.1850529557,0.1925024549,0.2083522826,0.1075264277,0.1122641082,0.1216601130,0.0664541025,0.0681944770,0.0758912449,0.3471761818,0.3602094219,0.3902678481,0.2599832607,0.2912205087,0.2728558641,0.1405963960,0.1522180393,0.1613228525,0.1790864472,0.1934251553,0.2053202207
ERNIE-Tiny,0.1039736932,0.1449180823,0.1149720622,0.2717543437,0.2564457274,0.3509900938,0.1254474186,0.1202387293,0.1583191461,0.0636956683,0.0622833748,0.0782312875,0.0352034931,0.0351249126,0.0421147685,0.2715551332,0.2562367507,0.3507822274,0.2066622943,0.2057297258,0.2507753019,0.0903390723,0.0889442074,0.1152872151,0.1217318017,0.1186850323,0.1587447621,0.1081497633,0.1528137541,0.1162907295,0.2792113714,0.2611801792,0.3680463336,0.1271237196,0.1197491139,0.1652313060,0.0655143043,0.0623473527,0.0839620519,0.0361656955,0.0347125612,0.0454011581,0.2790902411,0.2610719740,0.3678454099,0.2110158968,0.2087100244,0.2609327848,0.0919111742,0.0882787238,0.1207622293,0.1242029542,0.1186940712,0.1665788123
gpt-3.5-turbo-instruct,0.1041696255,0.1481809666,0.1129335601,0.2508298609,0.2293549062,0.3812067138,0.1178379861,0.1078496148,0.1778483983,0.0640333871,0.0589361617,0.0945073463,0.0356003066,0.0330286187,0.0512868146,0.2507156483,0.2292503570,0.3810578784,0.1887862982,0.1832023653,0.2662362078,0.0862215726,0.0801479107,0.1361210745,0.1144536371,0.1072177061,0.1817758221,0.1381761624,0.1842110293,0.1306869082,0.3185881337,0.2838114415,0.4328230723,0.1573704018,0.1413170595,0.2130343102,0.0913246836,0.0828681125,0.1231069301,0.0555539454,0.0506531818,0.0746340968,0.3183723314,0.2836041684,0.4325919055,0.2352593984,0.2216995308,0.2977497260,0.1185144929,0.1076132827,0.1666284123,0.1533926787,0.1388602915,0.2168295087
SenseChat-5-Cantonese,0.1046877687,0.1510852271,0.1202018854,0.2475915095,0.2455729731,0.4079697890,0.1183913976,0.1199959456,0.1930102862,0.0658622372,0.0645699961,0.1066745008,0.0393105076,0.0372450011,0.0623794852,0.2474624007,0.2454082737,0.4078273864,0.1853049301,0.1984599689,0.2803628758,0.0871954865,0.0956473797,0.1499683118,0.1145946480,0.1241742857,0.1979361685,0.1451008241,0.1970385010,0.1230823265,0.3246551956,0.3228198445,0.4102767562,0.1744803636,0.1756012521,0.2160894266,0.1052312718,0.1094731925,0.1266641349,0.0649060720,0.0669786125,0.0765837182,0.3245078836,0.3226760204,0.4101232506,0.2417176777,0.2580394294,0.2833909706,0.1328134549,0.1393756468,0.1671115446,0.1677569728,0.1750921893,0.2134782813
qwen-7b-hf,0.0300536335,0.0398855866,0.0322386316,0.0641602752,0.0532824310,0.1160324719,0.0307059450,0.0258129489,0.0545957723,0.0168871997,0.0143557051,0.0296483040,0.0094515436,0.0080362540,0.0167977949,0.0641595407,0.0532820509,0.1160216401,0.0475444645,0.0413349501,0.0800172891,0.0232979151,0.0198494051,0.0419545776,0.0303347109,0.0256046953,0.0560731915,0.0219441125,0.0297984767,0.0238461818,0.0403597535,0.0324956229,0.1052244501,0.0189636659,0.0154635423,0.0467869188,0.0101223813,0.0084955888,0.0235327529,0.0056867898,0.0049175810,0.0127120773,0.0403545563,0.0324929208,0.1051562834,0.0301058746,0.0253678532,0.0736451926,0.0139558470,0.0114648390,0.0363896226,0.0184734093,0.0150198475,0.0498866416
internlm2_5-7b-chat-hf,0.0679421486,0.0799738304,0.0713096343,0.0719346807,0.0404999948,0.5514508514,0.0312955506,0.0177175225,0.2435749400,0.0155801527,0.0089089274,0.1224975694,0.0083991214,0.0047985778,0.0670647821,0.0718500470,0.0404531374,0.5508910456,0.0532481484,0.0303465141,0.3705611861,0.0222959542,0.0125571453,0.1956894764,0.0299009720,0.0167878480,0.2641127707,0.0841216070,0.1036361896,0.0883927416,0.1455512945,0.0891334380,0.5634071786,0.0686947402,0.0419985643,0.2697034125,0.0378499928,0.0231630771,0.1487751786,0.0218271664,0.0133390644,0.0861102915,0.1454017904,0.0890392485,0.5629856583,0.1065531164,0.0666050408,0.3771356034,0.0499192108,0.0301623935,0.2170312333,0.0649692838,0.0392390798,0.2833769429
ERNIE-Speed,0.0954107713,0.1314744208,0.1017951953,0.2259050925,0.1925482629,0.3662023917,0.0961817352,0.0836943736,0.1535771949,0.0486907385,0.0433811934,0.0757026929,0.0277733754,0.0254556047,0.0411069058,0.2257992717,0.1924641639,0.3659906362,0.1709874014,0.1528158179,0.2587561481,0.0682757371,0.0603925727,0.1137076462,0.0946665756,0.0827644816,0.1607456843,0.1048807218,0.1382100539,0.1051845773,0.2362017031,0.1928976295,0.4242461190,0.1088070060,0.0906367952,0.1905603271,0.0583347408,0.0498564559,0.0992887772,0.0341622872,0.0296280762,0.0567324092,0.2361088063,0.1928256643,0.4240556986,0.1764590813,0.1508361365,0.2940288290,0.0782497930,0.0659426597,0.1445627292,0.1046393375,0.0871624961,0.1970738317
internlm2-20b-hf,0.0864592976,0.1262942568,0.1023983570,0.2206696533,0.2369425992,0.2789833957,0.1014099404,0.1098817766,0.1274408534,0.0546513314,0.0563761676,0.0681454320,0.0319115038,0.0333500573,0.0379428432,0.2204997186,0.2367896856,0.2787591710,0.1700278420,0.1979820067,0.2017353832,0.0734982831,0.0866428607,0.0954173409,0.0994748302,0.1182191753,0.1299713056,0.0260582873,0.0339493779,0.0230189288,0.0350575422,0.0315720341,0.1014905381,0.0178268767,0.0171756258,0.0442232537,0.0110132139,0.0112299176,0.0245282040,0.0072075591,0.0074771175,0.0152795720,0.0350554994,0.0315709959,0.1014217599,0.0269099296,0.0256662512,0.0735287487,0.0136340682,0.0140030334,0.0339977492,0.0174661429,0.0172918684,0.0475925340
ERNIE-Turbo,0.0903660765,0.1129995217,0.0951636948,0.1792089598,0.1321035272,0.4794997179,0.0777177414,0.0588518054,0.2017266654,0.0404110459,0.0312606209,0.1005813256,0.0230540550,0.0182849693,0.0547237213,0.1791286222,0.1320567778,0.4790669878,0.1325758312,0.1014184862,0.3260485516,0.0586372862,0.0447019639,0.1638607201,0.0784283971,0.0590246501,0.2240383795,0.0965996783,0.1219208507,0.0970127212,0.2119937023,0.1592832912,0.4825324551,0.0901358816,0.0684520535,0.1998928073,0.0464325053,0.0356245460,0.0983556524,0.0259931780,0.0199184183,0.0536185972,0.2118662438,0.1591904269,0.4822340293,0.1559623926,0.1217893246,0.3278066911,0.0689507088,0.0520898968,0.1639236052,0.0926789324,0.0696480392,0.2249046767
qwen2-72b-hf,0.0777369988,0.0968392466,0.0814920728,0.1086402937,0.0678500536,0.6674099756,0.0519732402,0.0332770328,0.3133363115,0.0285224191,0.0186457766,0.1684064069,0.0163241430,0.0108792923,0.0934592607,0.1085934746,0.0678245708,0.6669017288,0.0778184053,0.0497756817,0.4356329404,0.0380011642,0.0242931728,0.2627426866,0.0491698062,0.0311643728,0.3409355414,0.0998630956,0.1237655501,0.0917317290,0.1753001287,0.1221688169,0.6298894611,0.0851563570,0.0607048245,0.2972808068,0.0485471741,0.0357723435,0.1638717962,0.0293416268,0.0222302672,0.0956796922,0.1751719094,0.1220727848,0.6294642302,0.1259673166,0.0909517450,0.4146591875,0.0657635691,0.0474983222,0.2478438400,0.0836960865,0.0596918907,0.3218068280
gemma2-27b-it-hf,0.0714777651,0.0843859835,0.0740257232,0.0810712817,0.0470750625,0.6341616613,0.0356258843,0.0206853783,0.2895755615,0.0176499256,0.0102835941,0.1463853753,0.0090060985,0.0052665957,0.0777706968,0.0808829011,0.0469565073,0.6330285671,0.0586849632,0.0346808309,0.4149373263,0.0258433880,0.0148638063,0.2436495586,0.0344361696,0.0198207732,0.3187238664,0.0814101407,0.0998369026,0.0804514649,0.1133952069,0.0845083518,0.5280636628,0.0519770647,0.0395856104,0.2301756754,0.0271057948,0.0209270275,0.1148516013,0.0146909497,0.0112411124,0.0604239426,0.1132974554,0.0844405562,0.5276351026,0.0832354116,0.0646616304,0.3534947213,0.0376917479,0.0288899508,0.1837385997,0.0501556694,0.0382005485,0.2500302847
