Model,Reference,Precision,Recall,F1
phi-3-medium-128k-instruct-hf_0-shot,TruthfulQA_en_incorrect.txt,0.851260,0.872404,0.861434
phi-3-medium-128k-instruct-hf_5-shot,TruthfulQA_en_best.txt,0.877230,0.915849,0.895735
phi-3-medium-128k-instruct-hf_5-shot,TruthfulQA_en_correct.txt,0.884005,0.881601,0.882381
phi-3-medium-128k-instruct-hf_5-shot,TruthfulQA_en_incorrect.txt,0.868532,0.867321,0.867553
qwen1.5-110b-hf_0-shot,TruthfulQA_en_best.txt,0.830403,0.889269,0.858299
qwen1.5-110b-hf_0-shot,TruthfulQA_en_correct.txt,0.844354,0.872535,0.857830
qwen1.5-110b-hf_0-shot,TruthfulQA_en_incorrect.txt,0.843537,0.872719,0.857504
qwen1.5-110b-hf_5-shot,TruthfulQA_en_best.txt,0.842515,0.905249,0.871859
qwen1.5-110b-hf_5-shot,TruthfulQA_en_correct.txt,0.852150,0.877213,0.863495
qwen1.5-110b-hf_5-shot,TruthfulQA_en_incorrect.txt,0.841409,0.867005,0.853139
qwen2-72b-hf_0-shot,TruthfulQA_en_best.txt,0.764642,0.870213,0.813603
qwen2-72b-hf_0-shot,TruthfulQA_en_correct.txt,0.778351,0.862044,0.817816
qwen2-72b-hf_0-shot,TruthfulQA_en_incorrect.txt,0.777442,0.858771,0.815847
qwen2-72b-hf_5-shot,TruthfulQA_en_best.txt,0.778331,0.889760,0.829708
qwen2-72b-hf_5-shot,TruthfulQA_en_correct.txt,0.792392,0.872138,0.829794
qwen2-72b-hf_5-shot,TruthfulQA_en_incorrect.txt,0.789124,0.861060,0.823027
qwen2-7b-hf_0-shot,TruthfulQA_en_best.txt,0.801252,0.879427,0.838038
qwen2-7b-hf_0-shot,TruthfulQA_en_correct.txt,0.813792,0.865678,0.838618
qwen2-7b-hf_0-shot,TruthfulQA_en_incorrect.txt,0.812298,0.863891,0.837000
qwen2-7b-hf_5-shot,TruthfulQA_en_best.txt,0.842432,0.903047,0.870967
qwen2-7b-hf_5-shot,TruthfulQA_en_correct.txt,0.849212,0.874288,0.860855
qwen2-7b-hf_5-shot,TruthfulQA_en_incorrect.txt,0.839256,0.862768,0.850240
yi-1.5-34b-chat-hf_0-shot,TruthfulQA_en_best.txt,0.813590,0.884737,0.847154
yi-1.5-34b-chat-hf_0-shot,TruthfulQA_en_correct.txt,0.827094,0.870650,0.847914
yi-1.5-34b-chat-hf_0-shot,TruthfulQA_en_incorrect.txt,0.824610,0.866732,0.844763
yi-1.5-34b-chat-hf_5-shot,TruthfulQA_en_best.txt,0.866015,0.911979,0.887854
yi-1.5-34b-chat-hf_5-shot,TruthfulQA_en_correct.txt,0.872220,0.880036,0.875545
yi-1.5-34b-chat-hf_5-shot,TruthfulQA_en_incorrect.txt,0.859446,0.867883,0.863119
