Model,Translation Type,Shot Type,BLEU,rouge-1-f,rouge-1-p,rouge-1-r,rouge-2-f,rouge-2-p,rouge-2-r,rouge-3-f,rouge-3-p,rouge-3-r,rouge-4-f,rouge-4-p,rouge-4-r,rouge-l-f,rouge-l-p,rouge-l-r,rouge-w-1.2-f,rouge-w-1.2-p,rouge-w-1.2-r,rouge-s4-f,rouge-s4-p,rouge-s4-r,rouge-su4-f,rouge-su4-p,rouge-su4-r
qwen1.5-110b-hf,zh-yue,0-shot,0.2288,0.2931,0.3004,0.3721,0.2406,0.2296,0.2877,0.2081,0.1960,0.2444,0.1823,0.1715,0.2132,0.2930,0.3003,0.3718,0.1584,0.1783,0.1938,0.2347,0.2232,0.2795,0.2445,0.2347,0.2952
qwen1.5-110b-hf,zh-yue,5-shot,0.7960,0.8979,0.8873,0.9202,0.8229,0.8131,0.8432,0.7588,0.7497,0.7777,0.7010,0.6926,0.7184,0.8979,0.8872,0.9202,0.4746,0.4924,0.4637,0.8148,0.8049,0.8352,0.8290,0.8189,0.8497
mixtral-8x22b-instruct-v0.1-hf,en-yue,0-shot,0.1842,0.5155,0.4953,0.5662,0.2495,0.2400,0.2736,0.1325,0.1273,0.1455,0.0718,0.0689,0.0788,0.5152,0.4951,0.5659,0.2412,0.2414,0.2537,0.2394,0.2302,0.2624,0.2855,0.2744,0.3132
mixtral-8x22b-instruct-v0.1-hf,en-yue,5-shot,0.3115,0.6874,0.6881,0.6925,0.4226,0.4231,0.4254,0.2781,0.2784,0.2800,0.1870,0.1872,0.1882,0.6873,0.6880,0.6923,0.3127,0.3270,0.3021,0.4029,0.4033,0.4057,0.4506,0.4510,0.4537
mixtral-8x22b-instruct-v0.1-hf,zh-yue,0-shot,0.3204,0.4671,0.3578,0.8063,0.3562,0.2712,0.6238,0.2808,0.2124,0.4997,0.2243,0.1685,0.4051,0.4670,0.3577,0.8060,0.2529,0.1996,0.4112,0.3397,0.2572,0.6042,0.3609,0.2737,0.6389
mixtral-8x22b-instruct-v0.1-hf,zh-yue,5-shot,0.5159,0.6576,0.5983,0.8607,0.5581,0.5075,0.7311,0.4822,0.4381,0.6334,0.4183,0.3797,0.5512,0.6575,0.5982,0.8605,0.3505,0.3327,0.4362,0.5431,0.4939,0.7142,0.5623,0.5114,0.7393
GLM4,en-yue,0-shot,0.3426,0.7075,0.6925,0.7289,0.4475,0.4381,0.4610,0.3009,0.2945,0.3099,0.2107,0.2062,0.2170,0.7073,0.6923,0.7287,0.3205,0.3274,0.3163,0.4287,0.4196,0.4419,0.4754,0.4652,0.4900
GLM4,en-yue,5-shot,0.3807,0.7295,0.7169,0.7468,0.4813,0.4731,0.4925,0.3386,0.3330,0.3462,0.2443,0.2403,0.2497,0.7293,0.7166,0.7465,0.3289,0.3374,0.3227,0.4592,0.4512,0.4700,0.5044,0.4957,0.5164
GLM4,zh-yue,0-shot,0.5953,0.8284,0.8019,0.8668,0.6997,0.6782,0.7312,0.5982,0.5805,0.6244,0.5133,0.4988,0.5352,0.8282,0.8017,0.8666,0.4397,0.4461,0.4384,0.6882,0.6666,0.7202,0.7122,0.6897,0.7454
GLM4,zh-yue,5-shot,0.6487,0.8427,0.8090,0.8884,0.7341,0.7051,0.7736,0.6462,0.6210,0.6806,0.5696,0.5478,0.5996,0.8426,0.8089,0.8884,0.4462,0.4488,0.4481,0.7222,0.6930,0.7622,0.7428,0.7127,0.7839
yi-1.5-34b-chat-hf,en-yue,0-shot,0.2791,0.6519,0.6436,0.6665,0.3765,0.3721,0.3844,0.2352,0.2327,0.2399,0.1525,0.1510,0.1553,0.6515,0.6433,0.6661,0.2982,0.3074,0.2923,0.3607,0.3564,0.3684,0.4094,0.4044,0.4182
yi-1.5-34b-chat-hf,en-yue,5-shot,0.3506,0.7138,0.7066,0.7259,0.4560,0.4514,0.4637,0.3118,0.3089,0.3169,0.2182,0.2163,0.2216,0.7136,0.7064,0.7257,0.3224,0.3334,0.3144,0.4374,0.4330,0.4449,0.4837,0.4788,0.4919
yi-1.5-34b-chat-hf,zh-yue,0-shot,0.4727,0.7547,0.7309,0.7974,0.5916,0.5739,0.6236,0.4763,0.4625,0.5011,0.3892,0.3783,0.4089,0.7546,0.7308,0.7973,0.4037,0.4097,0.4062,0.5825,0.5648,0.6147,0.6118,0.5930,0.6459
yi-1.5-34b-chat-hf,zh-yue,5-shot,0.6699,0.8569,0.8311,0.8854,0.7482,0.7255,0.7732,0.6597,0.6395,0.6819,0.5836,0.5656,0.6034,0.8569,0.8310,0.8853,0.4545,0.4622,0.4475,0.7388,0.7157,0.7644,0.7590,0.7353,0.7851
gpt-4o,en-yue,0-shot,0.3634,0.7286,0.7105,0.7521,0.4704,0.4589,0.4854,0.3260,0.3181,0.3363,0.2305,0.2251,0.2376,0.7284,0.7103,0.7518,0.3288,0.3347,0.3251,0.4554,0.4442,0.4701,0.5012,0.4887,0.5174
gpt-4o,en-yue,5-shot,0.3985,0.7443,0.7315,0.7617,0.5057,0.4973,0.5172,0.3629,0.3570,0.3708,0.2658,0.2616,0.2715,0.7440,0.7312,0.7614,0.3354,0.3441,0.3289,0.4848,0.4766,0.4960,0.5283,0.5192,0.5405
gpt-4o,zh-yue,0-shot,0.7370,0.8970,0.8870,0.9085,0.7960,0.7878,0.8056,0.7121,0.7053,0.7200,0.6387,0.6330,0.6451,0.8969,0.8869,0.9084,0.4743,0.4923,0.4583,0.7861,0.7777,0.7957,0.8051,0.7964,0.8151
gpt-4o,zh-yue,5-shot,0.7906,0.9117,0.8983,0.9268,0.8299,0.8180,0.8434,0.7591,0.7484,0.7712,0.6965,0.6869,0.7074,0.9116,0.8982,0.9267,0.4813,0.4977,0.4666,0.8228,0.8106,0.8366,0.8380,0.8256,0.8521
mixtral-large-2-instruct-hf,en-yue,0-shot,0.3118,0.6918,0.6958,0.6919,0.4265,0.4295,0.4260,0.2802,0.2825,0.2795,0.1917,0.1935,0.1910,0.6915,0.6956,0.6916,0.3156,0.3318,0.3028,0.4117,0.4147,0.4112,0.4586,0.4618,0.4581
mixtral-large-2-instruct-hf,en-yue,5-shot,0.3897,0.7413,0.7443,0.7426,0.4984,0.5007,0.4990,0.3567,0.3585,0.3569,0.2608,0.2621,0.2609,0.7411,0.7441,0.7423,0.3346,0.3511,0.3215,0.4800,0.4821,0.4807,0.5238,0.5260,0.5245
mixtral-large-2-instruct-hf,zh-yue,0-shot,0.6483,0.8572,0.8494,0.8667,0.7323,0.7260,0.7400,0.6348,0.6297,0.6411,0.5531,0.5489,0.5582,0.8571,0.8492,0.8665,0.4554,0.4737,0.4392,0.7185,0.7122,0.7262,0.7422,0.7356,0.7503
mixtral-large-2-instruct-hf,zh-yue,5-shot,0.7270,0.8856,0.8786,0.8934,0.7838,0.7779,0.7905,0.7013,0.6962,0.7070,0.6286,0.6243,0.6335,0.8855,0.8786,0.8933,0.4690,0.4886,0.4514,0.7737,0.7678,0.7804,0.7929,0.7868,0.7998
qwen1.5-7b-hf,en-yue,0-shot,0.0908,0.2758,0.2517,0.3407,0.1038,0.0942,0.1291,0.0445,0.0403,0.0557,0.0183,0.0165,0.0231,0.2755,0.2514,0.3404,0.1331,0.1265,0.1573,0.1005,0.0912,0.1249,0.1297,0.1179,0.1609
qwen1.5-7b-hf,en-yue,5-shot,0.2757,0.5877,0.5801,0.6610,0.3571,0.3528,0.4004,0.2332,0.2303,0.2613,0.1562,0.1542,0.1746,0.5875,0.5800,0.6608,0.2688,0.2767,0.2899,0.3430,0.3387,0.3853,0.3839,0.3791,0.4315
qwen1.5-7b-hf,zh-yue,0-shot,0.1754,0.3083,0.2860,0.4614,0.2105,0.1936,0.2855,0.1491,0.1373,0.1955,0.1069,0.0983,0.1380,0.3081,0.2859,0.4611,0.1701,0.1657,0.2480,0.2017,0.1855,0.2719,0.2194,0.2018,0.3039
qwen1.5-7b-hf,zh-yue,5-shot,0.2714,0.3386,0.3066,0.8696,0.2839,0.2574,0.7276,0.2423,0.2196,0.6261,0.2073,0.1878,0.5416,0.3384,0.3065,0.8690,0.1800,0.1697,0.4399,0.2777,0.2521,0.7157,0.2879,0.2613,0.7420
yi-6b-hf,en-yue,0-shot,0.0427,0.0491,0.0381,0.1509,0.0216,0.0169,0.0684,0.0107,0.0083,0.0359,0.0054,0.0043,0.0176,0.0491,0.0381,0.1508,0.0243,0.0189,0.0766,0.0203,0.0165,0.0554,0.0251,0.0201,0.0715
yi-6b-hf,en-yue,5-shot,0.1451,0.1599,0.0987,0.7721,0.0941,0.0582,0.4546,0.0602,0.0374,0.2915,0.0401,0.0249,0.1946,0.1598,0.0986,0.7712,0.0740,0.0464,0.3324,0.0909,0.0562,0.4437,0.1023,0.0633,0.4988
yi-6b-hf,zh-yue,0-shot,0.0692,0.0454,0.0257,0.4997,0.0252,0.0135,0.2855,0.0154,0.0082,0.1749,0.0097,0.0051,0.1104,0.0454,0.0257,0.4995,0.0266,0.0157,0.2680,0.0238,0.0127,0.2764,0.0272,0.0146,0.3143
yi-6b-hf,zh-yue,5-shot,0.1205,0.1264,0.0734,0.8680,0.1043,0.0606,0.7267,0.0882,0.0511,0.6271,0.0755,0.0438,0.5449,0.1264,0.0734,0.8678,0.0695,0.0408,0.4395,0.0992,0.0576,0.7127,0.1035,0.0601,0.7395
llama-2-7b-hf,en-yue,0-shot,0.0221,0.0091,0.0051,0.0397,0.0052,0.0029,0.0228,0.0035,0.0020,0.0153,0.0018,0.0010,0.0078,0.0091,0.0051,0.0397,0.0068,0.0039,0.0272,0.0023,0.0013,0.0103,0.0035,0.0020,0.0153
llama-2-7b-hf,en-yue,5-shot,0.1109,0.2148,0.1728,0.3303,0.0954,0.0759,0.1504,0.0522,0.0412,0.0834,0.0303,0.0238,0.0491,0.2147,0.1726,0.3301,0.1088,0.0905,0.1580,0.0888,0.0707,0.1400,0.1100,0.0878,0.1721
llama-2-7b-hf,zh-yue,0-shot,0.0742,0.1297,0.0861,0.3931,0.0675,0.0419,0.2086,0.0387,0.0240,0.1208,0.0232,0.0144,0.0730,0.1296,0.0861,0.3929,0.0756,0.0532,0.2126,0.0633,0.0390,0.2007,0.0741,0.0459,0.2332
llama-2-7b-hf,zh-yue,5-shot,0.1507,0.2864,0.2007,0.7111,0.2046,0.1437,0.5101,0.1523,0.1072,0.3811,0.1147,0.0809,0.2882,0.2863,0.2006,0.7109,0.1588,0.1138,0.3697,0.1920,0.1346,0.4873,0.2075,0.1454,0.5256
internlm2_5-7b-turbomind,en-yue,0-shot,0.1229,0.2986,0.2753,0.4084,0.1274,0.1163,0.1780,0.0615,0.0561,0.0869,0.0301,0.0277,0.0426,0.2984,0.2751,0.4081,0.1432,0.1384,0.1868,0.1220,0.1115,0.1699,0.1514,0.1388,0.2097
internlm2_5-7b-turbomind,en-yue,5-shot,0.1661,0.3872,0.3887,0.4097,0.2138,0.2149,0.2271,0.1304,0.1311,0.1389,0.0826,0.0832,0.0876,0.3872,0.3886,0.4096,0.1792,0.1881,0.1839,0.2022,0.2031,0.2124,0.2331,0.2341,0.2454
internlm2_5-7b-turbomind,zh-yue,0-shot,0.2089,0.4848,0.4574,0.5831,0.3024,0.2866,0.3539,0.1959,0.1863,0.2263,0.1294,0.1235,0.1481,0.4845,0.4571,0.5827,0.2665,0.2626,0.3071,0.2927,0.2774,0.3427,0.3250,0.3076,0.3834
internlm2_5-7b-turbomind,zh-yue,5-shot,0.4414,0.7110,0.6790,0.7816,0.5591,0.5341,0.6123,0.4495,0.4296,0.4914,0.3664,0.3504,0.3996,0.7110,0.6790,0.7816,0.3811,0.3813,0.3992,0.5406,0.5159,0.5941,0.5694,0.5433,0.6260
phi-3-medium-128k-instruct-hf,en-yue,0-shot,0.1594,0.4981,0.4869,0.5283,0.2286,0.2238,0.2417,0.1097,0.1074,0.1159,0.0523,0.0513,0.0551,0.4978,0.4866,0.5279,0.2361,0.2407,0.2400,0.2174,0.2128,0.2301,0.2642,0.2585,0.2799
phi-3-medium-128k-instruct-hf,en-yue,5-shot,0.2466,0.6174,0.6248,0.6235,0.3387,0.3426,0.3421,0.2029,0.2050,0.2049,0.1264,0.1275,0.1277,0.6171,0.6245,0.6232,0.2848,0.3012,0.2762,0.3216,0.3255,0.3244,0.3711,0.3756,0.3745
phi-3-medium-128k-instruct-hf,zh-yue,0-shot,0.3679,0.6674,0.6416,0.7422,0.4827,0.4644,0.5369,0.3619,0.3485,0.4025,0.2743,0.2645,0.3051,0.6673,0.6415,0.7420,0.3627,0.3650,0.3842,0.4649,0.4475,0.5178,0.4992,0.4803,0.5560
phi-3-medium-128k-instruct-hf,zh-yue,5-shot,0.4858,0.7654,0.7509,0.7924,0.6030,0.5922,0.6226,0.4869,0.4786,0.5021,0.3951,0.3885,0.4068,0.7653,0.7508,0.7922,0.4117,0.4238,0.4063,0.5843,0.5740,0.6037,0.6152,0.6041,0.6360
qwen2_5-72b-instruct-hf,en-yue,0-shot,0.3372,0.7100,0.7002,0.7241,0.4442,0.4383,0.4528,0.2968,0.2930,0.3022,0.2033,0.2008,0.2068,0.7095,0.6997,0.7236,0.3211,0.3306,0.3138,0.4311,0.4251,0.4396,0.4777,0.4712,0.4872
qwen2_5-72b-instruct-hf,en-yue,5-shot,0.3780,0.7338,0.7315,0.7411,0.4863,0.4850,0.4907,0.3427,0.3420,0.3456,0.2451,0.2447,0.2470,0.7336,0.7312,0.7408,0.3309,0.3446,0.3206,0.4664,0.4650,0.4709,0.5112,0.5096,0.5162
qwen2_5-72b-instruct-hf,zh-yue,0-shot,0.6181,0.8512,0.8399,0.8675,0.7159,0.7073,0.7283,0.6123,0.6055,0.6220,0.5266,0.5212,0.5344,0.8511,0.8398,0.8674,0.4509,0.4670,0.4382,0.7049,0.6962,0.7175,0.7299,0.7207,0.7432
qwen2_5-72b-instruct-hf,zh-yue,5-shot,0.6939,0.8791,0.8719,0.8873,0.7662,0.7601,0.7731,0.6763,0.6711,0.6823,0.5995,0.5951,0.6047,0.8790,0.8718,0.8872,0.4647,0.4839,0.4474,0.7567,0.7506,0.7637,0.7776,0.7714,0.7849
yi-1.5-6b-hf,en-yue,0-shot,0.0316,0.0663,0.0572,0.1293,0.0311,0.0268,0.0640,0.0172,0.0149,0.0359,0.0095,0.0084,0.0191,0.0663,0.0572,0.1292,0.0331,0.0290,0.0653,0.0278,0.0245,0.0509,0.0342,0.0299,0.0641
yi-1.5-6b-hf,en-yue,5-shot,0.1931,0.3049,0.2664,0.7429,0.1825,0.1601,0.4399,0.1179,0.1036,0.2835,0.0776,0.0681,0.1889,0.3044,0.2660,0.7417,0.1388,0.1254,0.3207,0.1764,0.1549,0.4272,0.1978,0.1735,0.4802
yi-1.5-6b-hf,zh-yue,0-shot,0.0829,0.0731,0.0468,0.5465,0.0467,0.0306,0.3288,0.0321,0.0215,0.2123,0.0231,0.0158,0.1427,0.0730,0.0468,0.5461,0.0417,0.0271,0.2907,0.0442,0.0290,0.3179,0.0489,0.0319,0.3566
yi-1.5-6b-hf,zh-yue,5-shot,0.1981,0.2301,0.1880,0.8789,0.1948,0.1597,0.7437,0.1690,0.1389,0.6461,0.1477,0.1216,0.5664,0.2301,0.1880,0.8788,0.1232,0.1040,0.4449,0.1903,0.1565,0.7358,0.1968,0.1617,0.7603
llama-3_1-70b-instruct-hf,en-yue,0-shot,0.2971,0.6608,0.6642,0.6627,0.3933,0.3954,0.3946,0.2527,0.2542,0.2533,0.1657,0.1667,0.1661,0.6605,0.6638,0.6624,0.3017,0.3168,0.2903,0.3768,0.3787,0.3781,0.4243,0.4265,0.4257
llama-3_1-70b-instruct-hf,en-yue,5-shot,0.3778,0.7340,0.7323,0.7400,0.4834,0.4825,0.4872,0.3381,0.3376,0.3404,0.2419,0.2418,0.2434,0.7338,0.7321,0.7398,0.3314,0.3454,0.3203,0.4655,0.4646,0.4691,0.5105,0.5094,0.5145
llama-3_1-70b-instruct-hf,zh-yue,0-shot,0.6323,0.8505,0.8466,0.8593,0.7171,0.7143,0.7236,0.6130,0.6109,0.6178,0.5284,0.5268,0.5320,0.8505,0.8466,0.8593,0.4523,0.4728,0.4359,0.7049,0.7021,0.7114,0.7298,0.7268,0.7367
llama-3_1-70b-instruct-hf,zh-yue,5-shot,0.7617,0.8980,0.8888,0.9090,0.8057,0.7976,0.8154,0.7308,0.7236,0.7396,0.6644,0.6579,0.6723,0.8980,0.8888,0.9090,0.4749,0.4934,0.4585,0.7990,0.7908,0.8090,0.8159,0.8075,0.8261
qwen-7b-hf,en-yue,0-shot,0.0061,0.0172,0.0140,0.0238,0.0071,0.0057,0.0099,0.0031,0.0025,0.0044,0.0014,0.0011,0.0021,0.0172,0.0140,0.0238,0.0082,0.0069,0.0108,0.0072,0.0058,0.0101,0.0088,0.0071,0.0124
qwen-7b-hf,en-yue,5-shot,0.0706,0.1511,0.1498,0.1611,0.0924,0.0916,0.0986,0.0591,0.0586,0.0631,0.0383,0.0379,0.0411,0.1511,0.1498,0.1611,0.0682,0.0703,0.0699,0.0893,0.0885,0.0951,0.0996,0.0988,0.1061
qwen-7b-hf,zh-yue,0-shot,0.0503,0.0850,0.0882,0.0931,0.0632,0.0622,0.0672,0.0480,0.0473,0.0506,0.0369,0.0365,0.0384,0.0849,0.0881,0.0930,0.0444,0.0502,0.0471,0.0610,0.0600,0.0647,0.0650,0.0639,0.0695
qwen-7b-hf,zh-yue,5-shot,0.1426,0.1856,0.1761,0.2184,0.1587,0.1508,0.1859,0.1381,0.1313,0.1615,0.1206,0.1147,0.1410,0.1855,0.1761,0.2183,0.0965,0.0958,0.1080,0.1569,0.1489,0.1846,0.1617,0.1535,0.1903
internlm2_5-7b-chat-hf,en-yue,0-shot,0.1402,0.4467,0.4455,0.4510,0.1782,0.1781,0.1794,0.0790,0.0791,0.0795,0.0363,0.0365,0.0364,0.4463,0.4452,0.4507,0.2142,0.2232,0.2076,0.1710,0.1708,0.1723,0.2168,0.2165,0.2187
internlm2_5-7b-chat-hf,en-yue,5-shot,0.2961,0.6598,0.6534,0.6741,0.3931,0.3897,0.4010,0.2546,0.2527,0.2592,0.1708,0.1696,0.1736,0.6593,0.6529,0.6736,0.3005,0.3108,0.2944,0.3771,0.3736,0.3849,0.4244,0.4204,0.4333
internlm2_5-7b-chat-hf,zh-yue,0-shot,0.1695,0.4799,0.4370,0.5817,0.2699,0.2446,0.3307,0.1543,0.1390,0.1913,0.0904,0.0809,0.1136,0.4797,0.4368,0.5815,0.2671,0.2540,0.3070,0.2622,0.2375,0.3226,0.2987,0.2709,0.3666
internlm2_5-7b-chat-hf,zh-yue,5-shot,0.3487,0.6639,0.6305,0.7294,0.4795,0.4560,0.5263,0.3548,0.3378,0.3889,0.2688,0.2563,0.2940,0.6638,0.6304,0.7293,0.3586,0.3567,0.3751,0.4694,0.4461,0.5162,0.5022,0.4771,0.5524
qwen2-72b-hf,en-yue,0-shot,0.1905,0.3419,0.2555,0.8012,0.2073,0.1556,0.4816,0.1369,0.1032,0.3147,0.0946,0.0717,0.2144,0.3417,0.2553,0.8005,0.1554,0.1194,0.3435,0.2032,0.1525,0.4728,0.2262,0.1696,0.5279
qwen2-72b-hf,en-yue,5-shot,0.1458,0.1443,0.0797,0.8474,0.0893,0.0493,0.5284,0.0605,0.0333,0.3606,0.0426,0.0234,0.2558,0.1440,0.0795,0.8460,0.0662,0.0369,0.3608,0.0871,0.0480,0.5202,0.0965,0.0532,0.5752
qwen2-72b-hf,zh-yue,0-shot,0.1974,0.2454,0.1663,0.8683,0.1940,0.1310,0.6943,0.1592,0.1072,0.5776,0.1310,0.0876,0.4857,0.2454,0.1663,0.8682,0.1329,0.0921,0.4391,0.1874,0.1261,0.6842,0.1968,0.1325,0.7158
qwen2-72b-hf,zh-yue,5-shot,0.1108,0.0997,0.0537,0.9301,0.0864,0.0465,0.8136,0.0767,0.0413,0.7301,0.0683,0.0368,0.6567,0.0996,0.0537,0.9300,0.0544,0.0295,0.4676,0.0834,0.0449,0.8092,0.0859,0.0462,0.8300
gpt-4-0125,en-yue,0-shot,0.3442,0.7205,0.7085,0.7369,0.4567,0.4495,0.4668,0.3092,0.3047,0.3158,0.2159,0.2129,0.2203,0.7201,0.7082,0.7366,0.3260,0.3348,0.3196,0.4411,0.4341,0.4509,0.4878,0.4800,0.4988
gpt-4-0125,en-yue,5-shot,0.3738,0.7393,0.7325,0.7503,0.4857,0.4814,0.4929,0.3403,0.3374,0.3451,0.2431,0.2411,0.2464,0.7389,0.7321,0.7499,0.3336,0.3452,0.3246,0.4665,0.4623,0.4733,0.5122,0.5076,0.5198
gpt-4-0125,zh-yue,0-shot,0.6825,0.8711,0.8564,0.8878,0.7557,0.7435,0.7695,0.6642,0.6540,0.6757,0.5857,0.5771,0.5953,0.8711,0.8564,0.8878,0.4612,0.4758,0.4483,0.7456,0.7333,0.7596,0.7671,0.7543,0.7816
gpt-4-0125,zh-yue,5-shot,0.7565,0.8924,0.8814,0.9048,0.8010,0.7912,0.8119,0.7257,0.7171,0.7352,0.6599,0.6523,0.6682,0.8924,0.8814,0.9048,0.4714,0.4890,0.4558,0.7908,0.7809,0.8019,0.8083,0.7981,0.8196
gemma2-27b-it-hf,en-yue,0-shot,0.1252,0.1458,0.0935,0.5873,0.0723,0.0467,0.2918,0.0395,0.0257,0.1591,0.0226,0.0148,0.0904,0.1457,0.0935,0.5870,0.0700,0.0458,0.2622,0.0642,0.0415,0.2601,0.0778,0.0502,0.3155
gemma2-27b-it-hf,en-yue,5-shot,0.0869,0.0754,0.0486,0.4301,0.0303,0.0203,0.1713,0.0142,0.0100,0.0790,0.0070,0.0052,0.0377,0.0754,0.0486,0.4297,0.0380,0.0250,0.2002,0.0251,0.0171,0.1443,0.0335,0.0224,0.1926
gemma2-27b-it-hf,zh-yue,0-shot,0.1130,0.0916,0.0628,0.6463,0.0535,0.0369,0.3692,0.0331,0.0230,0.2245,0.0220,0.0152,0.1479,0.0916,0.0628,0.6462,0.0520,0.0366,0.3390,0.0457,0.0320,0.3158,0.0533,0.0371,0.3725
gemma2-27b-it-hf,zh-yue,5-shot,0.0856,0.0740,0.0526,0.4833,0.0337,0.0243,0.2070,0.0180,0.0130,0.1049,0.0106,0.0077,0.0597,0.0739,0.0526,0.4831,0.0428,0.0312,0.2616,0.0278,0.0204,0.1619,0.0354,0.0257,0.2171
llama-3_1-8b-instruct-hf,en-yue,0-shot,0.2525,0.6246,0.6306,0.6307,0.3448,0.3484,0.3478,0.2113,0.2138,0.2128,0.1331,0.1348,0.1336,0.6244,0.6305,0.6306,0.2872,0.3032,0.2783,0.3377,0.3415,0.3401,0.3857,0.3899,0.3887
llama-3_1-8b-instruct-hf,en-yue,5-shot,0.3199,0.6856,0.6851,0.6942,0.4201,0.4199,0.4252,0.2775,0.2776,0.2805,0.1889,0.1891,0.1908,0.6854,0.6849,0.6940,0.3113,0.3249,0.3024,0.4048,0.4046,0.4098,0.4518,0.4515,0.4574
llama-3_1-8b-instruct-hf,zh-yue,0-shot,0.4430,0.6990,0.6589,0.7953,0.5486,0.5170,0.6232,0.4421,0.4164,0.5021,0.3578,0.3370,0.4063,0.6988,0.6587,0.7950,0.3760,0.3709,0.4071,0.5320,0.5008,0.6064,0.5603,0.5275,0.6388
llama-3_1-8b-instruct-hf,zh-yue,5-shot,0.6134,0.8234,0.7978,0.8594,0.7002,0.6787,0.7298,0.6054,0.5871,0.6305,0.5272,0.5115,0.5487,0.8233,0.7977,0.8593,0.4379,0.4448,0.4356,0.6881,0.6666,0.7180,0.7113,0.6890,0.7423
internlm-7b-turbomind,en-yue,0-shot,0.0319,0.0469,0.0453,0.1036,0.0175,0.0154,0.0431,0.0083,0.0072,0.0226,0.0042,0.0035,0.0116,0.0468,0.0453,0.1035,0.0241,0.0249,0.0539,0.0156,0.0137,0.0332,0.0208,0.0191,0.0450
internlm-7b-turbomind,en-yue,5-shot,0.1526,0.2176,0.1603,0.6814,0.1275,0.0945,0.3965,0.0813,0.0605,0.2515,0.0533,0.0398,0.1638,0.2175,0.1602,0.6809,0.1010,0.0762,0.2972,0.1216,0.0901,0.3817,0.1375,0.1017,0.4319
