questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category,Cantonese_question
MCAS_2005_5_29,29,1,A,1,0,MCAS,5,2005,"Which of the following was probably most important in the formation of dark, fertile soil that is good for farming? (A) plant decomposition (B) radioactive decay (C) water erosion (D) wind erosion",,Train,邊項係對形成黑色肥沃嘅土地最重要嘅？(A) 植物分解 (B) 放射性衰變 (C) 水侵蝕 (D) 風蝕
MCAS_2001_8_7,7,1,A,1,0,MCAS,8,2001,"When igneous rock is changed into metamorphic rock, which form of energy is this process? (A) heat (B) chemical (C) magnetic (D) light",,Train,當火成岩變成變質岩時，呢個過程係咩種能量？(A) 熱能 (B) 化學能 (C) 磁能 (D) 光能
Mercury_SC_400329,400329,1,B,1,0,Mercury,5,2015,"In humans, the digestion process begins in (A) the intestine, with squeezing. (B) the mouth, with chewing and saliva. (C) the stomach, with churning and acid. (D) the esophagus, with pushing towards the stomach.",,Train,人類嘅消化過程係喺（A）腸道入面開始，用緊壓迫。 （B）口腔入面，用緊咀嚼同唾液。 （C）胃入面，用緊攪拌同胃酸。 （D）食道入面，用緊將嘢推向胃。
Mercury_SC_407440,407440,1,B,1,0,Mercury,4,2015,Which of these items contains only a solution? (A) a jar of pickles (B) a bottle of juice (C) a bag of peanuts (D) a can of mixed fruit,,Train,邊樣嘢係只有成個解決方案？(A) 一罐醃黃瓜 (B) 一樽果汁 (C) 一袋花生 (D) 一罐水果罐头
MCAS_2016_8_7,7,1,A,1,0,MCAS,8,2016,"Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change? (A) chemical weathering (B) mechanical weathering (C) water erosion (D) wind erosion",,Train,好多自然嘅岩石形態喺啲時間過後會改變顏色。好似喺猶他州，鐵氧化形成紅、橙同黃色嘅石頭。以下嘅邊個係導致呢種改變嘅原因？(A) 化學風化 (B) 機械風化 (C) 水侵蝕 (D) 風蝕
MEA_2016_8_8,8,1,A,1,0,MEA,8,2016,"A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations? (A) It would be mostly light brown beetles. (B) It would be mostly dark green beetles. (C) It would be mostly carnivorous beetles. (D) It would be mostly very large beetles.",,Train,一群細細隻嘅食草甲蟲住喺一片森林度。大概一半嘅甲蟲係淺啡色，另一半係深綠色。如果幾年乾旱導致呢個地區變得乾燥同樹木稀少，幾代之後呢班甲蟲嘅族群最可能嘅樣貌係乜嘢？（A）大部分都係淺啡色嘅甲蟲。（B）大部分都係深綠色嘅甲蟲。（C）大部分都係肉食性嘅甲蟲。（D）大部分都係好大隻嘅甲蟲。
Mercury_SC_400124,400124,1,D,1,0,Mercury,5,2015,A scientist wanting to document a change in a river's flow pattern should observe a river over a period of (A) days. (B) weeks. (C) months. (D) years.,,Train,想要記錄河流流量變化嘅科學家應該觀察河流多耐日？(A) 日。（B）星期。（C）個月。（D）年。
Mercury_405944,405944,1,A,1,0,Mercury,6,2015,Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing (A) air pollution. (B) heat pollution. (C) noise pollution. (D) light pollution.,,Train,今時今日嘅汽車引擎設計返黎係為咗節約汽油。而節油引擎最有可能會影響到城市嘅係減少 (A) 空氣污染。 (B) 熱污染。 (C) 噪音污染。 (D) 光污染。
Mercury_SC_405129,405129,1,B,1,0,Mercury,5,2015,"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout? (A) an increased loudness of sound (B) a reflection of sound (C) an increased frequency of sound (D) a refraction of sound",,Train,學生係空教室度叫，「Hello！」最好解釋係叫聲之後學生嗰啲聽到乜嘢？(A) 聲音嘅音量增加(B) 聲音嘅反射(C) 聲音嘅頻率增加(D) 聲音嘅折射
NYSEDREGENTS_2011_8_4,4,1,1,1,0,NYSEDREGENTS,8,2011,Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine? (1) chemical (2) nuclear (3) magnetic (4) electrical,,Train,係汽油度嘅邊一種能量會轉換做摩托車引擎嘅機械能？（1）化學（2）核能（3）磁能（4）電能
Mercury_SC_406063,406063,1,C,1,0,Mercury,5,2015,A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student? (A) conduction (B) convection (C) radiation (D) transformation,,Train,一個喺營火附近嘅學生感覺到營火越燒越熱。最有可能將熱量從營火傳送到學生身上嘅過程係咩？(A)傳導 (B)對流 (C)輻射 (D)轉化
Mercury_412056,412056,1,B,1,0,Mercury,8,2015,"In snapdragon plants, red flowers are dominant to white flowers. When red-flowered plants are crossed with white-flowered plants, pink flowers are produced. If a researcher wants to produce plants with only white flowers, what color should the parent plants be? (A) both red (B) both white (C) one red and one white (D) one white and one pink",,Train,係龍舌蘭植物入面，紅花係勝於白花嘅。當紅花植物同白花植物杂交，就會產生粉紅色嘅花。如果一個研究者想要培育出只有白花嘅植物，邊個顏色嘅家長植物應該係咩顏色？（A）兩個紅色（B）兩個白色（C）一個紅色同一個白色（D）一個白色同一個粉紅色
Mercury_7016590,7016590,1,B,1,0,Mercury,8,2015,"Scientists use the term ""light year"" to describe (A) how fast light travels in space. (B) the distance light travels in one year. (C) how large the diameters of different stars are. (D) the time it takes the Sun to move through the galaxy.",,Train,科學家用「光年」呢個術語黎形容 (A) 光在太空中行得有多快，(B) 光一年之內行得咗幾遠，(C) 唔同星星嘅直徑有幾大，同埋 (D) 太陽行過銀河系需要幾多時間。
Mercury_7148628,7148628,1,D,1,0,Mercury,9,2015,Plate movement can form different features on Earth. The movement of tectonic plates can be both a constructive and a destructive force. At which type of plate boundary is new crust formed? (A) convergent (B) subduction (C) transform (D) divergent,,Train,板块運動可以造成地球上不同的地貌特徵。板塊運動既可以是一種建設性的力量，也可以是一種破壞性的力量。在哪種類型的板塊邊界上形成新的地殼？（A）聚合（B）俯衝（C）橫移（D）輻射
NYSEDREGENTS_2007_8_7,7,1,1,1,0,NYSEDREGENTS,8,2007,Which group of organisms can show significant trait changes in the shortest period of time? (1) bacteria (2) birds (3) fish (4) reptiles,,Train,邊組織體可以係最短時間內展示顯著嘅特徵改變？(1) 細菌 (2) 鳥類 (3) 魚類 (4) 爬蟲類
CSZ10336,CSZ10336,1,A,1,0,California Standards Test - Science,5,2007,Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree? (A) to attract bees for pollination (B) to create flower arrangements (C) to protect the tree from disease (D) to feed migratory birds,,Train,桃樹有香甜嘅花朵同生產豐硕嘅果實。桃樹嘅花嘅主要目的係乜嘢？(A) 吸引蜜蜂授粉 (B) 為製作花卉擺設 (C) 保護樹木免受疾病 (D) 餵養候鳥
Mercury_7109393,7109393,1,A,1,0,Mercury,9,2015,A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years? (A) tree rings (B) pollen samples (C) harvest production (D) carbon dating,,Train,一班學生研究佢哋地區嘅氣候變化。以下邊個係最好嘅證據去顯示幾年嘅時間裡氣溫同降雨量嘅變化？(A) 樹木年輪 (B) 花粉樣本 (C) 收成產量 (D) 碳定年
Mercury_SC_LBS10953,LBS10953,1,D,1,0,Mercury,4,2015,"Which of these would help to prevent infections from occurring in small cuts and scrapes? (A) apply a cold ice pack (B) raise the injured area (C) apply pressure to stop bleeding (D) wash the area with warm, soapy water",,Train,邊啲方法可以防止小傷口受菌感染？(A) 敷冰塊 (B) 抬高傷口部位 (C) 施加壓力止血 (D) 用暖肥皂水清洗傷口
NCEOGA_2013_5_8,8,1,A,1,0,North Carolina READY End-of-Grade Assessment,5,2013,Which best describes why winds at the beach change direction between day and night? (A) because the temperatures over land and over water change (B) because warm air over land sinks and stays in place over land (C) because cool air rises and is replaced by warm air from the ocean (D) because cool air sinks and stays in place over land,,Train,選項：(C) 因為冷氣上升，被海洋中的暖氣取代。
Mercury_7017763,7017763,1,B,1,0,Mercury,8,2015,Soil erosion can be best prevented by (A) removing grass from the steepest slope. (B) building terraces into the sides of a slope. (C) heavily watering the vegetation on the slope. (D) increasing the slope of the land by adding more soil.,,Train,最好防止土壤侵蝕嘅方法係（A）去走最陡嘅斜坡嘅草。 （B）喺斜坡嘅兩邊建立梯田。 （C）大量澆水係斜坡上嘅植被。 （D）增加土地嘅斜度，加多啲土。
MCAS_1999_4_29,29,1,A,1,0,MCAS,4,1999,Which of the following properties provides the BEST way to identify a mineral? (A) hardness (B) shape (C) size (D) temperature,,Train,邊個特性最適合用嚟辨識礦物？(A) 硬度 (B) 形狀 (C) 大細 (D) 溫度
NYSEDREGENTS_2011_8_20,20,1,1,1,0,NYSEDREGENTS,8,2011,Which sequence represents the order of development for many plants? (1) seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows (2) seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows (3) seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit (4) seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit,,Train,邊個次序代表好多棵植物發展嘅次序？（1）種子喺果內發展 -> 種子散播 -> 種子發芽 -> 植物生長（2）種子散播 -> 種子喺果內發展 -> 種子發芽 -> 植物生長（3）種子發芽 -> 植物生長 -> 種子散播 -> 種子喺果內發展（4）種子散播 -> 植物生長 -> 種子發芽 -> 種子喺果內發展
VASoL_2009_5_4,4,1,C,1,0,Virginia Standards of Learning - Science,5,2009,"When ice cream is left out of a freezer, the ice cream changes from a ___. (A) solid to a gas (B) gas to a liquid (C) solid to a liquid (D) liquid to a gas",,Train,當雪糕離開雪櫃，佢會變咗由固體變成液體。 (C) 固體變液體
NYSEDREGENTS_2005_8_9,9,1,1,1,0,NYSEDREGENTS,8,2005,Which equipment will best separate a mixture of iron filings and black pepper? (1) magnet (2) filter paper (3) triple-beam balance (4) voltmeter,,Train,邊種設備至好將鐵屑同埋黑胡椒分開呀？(1) 磁鐵 (2) 過濾紙 (3) 三點天平 (4) 伏特表
NAEP_2011_8_S11+3,S11+3,1,A,1,0,NAEP,8,2011,Which characteristic is shared by all cells? (A) They need energy. (B) They reproduce sexually. (C) They make their own food. (D) They move from place to place.,,Train,所有細胞都共享咩特徵？(A) 佢哋需要能量。(B) 佢哋性繁殖。(C) 佢哋自己製造食物。(D) 佢哋喺度到咪。
Mercury_7018305,7018305,1,B,1,0,Mercury,8,2015,"On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease? (A) birds with long, probing beaks (B) birds with thick, strong beaks (C) birds with thin, short beaks (D) birds with large, pouch beaks",,Train,喺一個細島上，有一個颱風破壞咗所有樹木，呢啲樹木產生一啲大，堅硬果殼嘅果仁。邊種鳥類嘅數量最可能減少？(A) 長而尖嘅喙 (B) 厚而堅強嘅喙 (C) 瘦而短嘅喙 (D) 大型袋狀喙
Mercury_7145250,7145250,1,B,1,0,Mercury,9,2015,"A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar? (A) Both have undergone similar mutations. (B) Both descended from a common ancestor. (C) Both reacted similarly to environmental pressures. (D) Both spread out from the same geographical region.",,Train,牛同青蛙喺前肢嘅骨骼結構好似。兩者都有指骨、橈骨、尺骨同肱骨。但係牛同青蛙係兩種生命週期截然不同嘅動物。咩最可能解釋呢啲動物嘅身體結構會咁相似呀？(A) 兩者都經歷過類似嘅突變。(B) 兩者都係同一祖先傳承。(C) 兩者對環境壓力反應相似。(D) 兩者都由同一地理區域擴散。
Mercury_7220903,7220903,1,A,1,0,Mercury,8,2015,A cell that is unable to import substances required to process chemical energy is most likely a result of a malfunctioning (A) cell membrane. (B) endoplasmic reticulum. (C) Golgi body. (D) nuclear envelope.,,Train,一個唔可以攝取需要嘅物質嚟處理化學能量嘅細胞好似係因為( A )細胞膜出問題。( B )內質網。( C )高基體。( D )核仔。
Mercury_SC_416457,416457,1,D,1,0,Mercury,5,2015,Which best describes all unicellular organisms? (A) Every cell is round. (B) Every cell can make food. (C) Every cell can move on its own. (D) Every cell performs all life functions.,,Train,哪個最能描述所有單細胞生物？(A)每粒細胞係圓嘅。(B)每粒細胞可以製造食物。(C)每粒細胞可以自行移動。(D)每粒細胞執行所有生命功能。
Mercury_7015313,7015313,1,D,1,0,Mercury,8,2015,"When a transverse wave passes from right to left through a medium, what happens to the particles of the medium? (A) Particles travel from right to left along the wave. (B) Particles travel from left to right along the wave. (C) Particles move back and forth parallel to the wave. (D) Particles move back and forth perpendicular to the wave.",,Train,當橫波由右到左經過媒質時，媒質的粒子會發生什麼情況？(A) 粒子沿著波從右到左移動。(B) 粒子沿著波從左到右移動。(C) 粒子平行於波來回運動。(D) 粒子垂直於波來回運動。
Mercury_7001663,7001663,1,D,1,0,Mercury,8,2015,Which characteristic below most likely accounts for our limited knowledge of galaxies? (A) their tiny size (B) their magnetic cores (C) their inability to produce light (D) their great distance from Earth,,Train,邊個特徵最有可能係我哋唔識知咁多銀河？(A)佢哋嘅細細身形(B)佢哋嘅磁性核心(C)佢哋冇能力產生光(D)佢哋同地球嘅遙遠距離
Mercury_7172778,7172778,1,B,1,0,Mercury,7,2015,Decomposers increase the fertility of the soil and prevent dead organisms from building up in the environment. In which way do decomposers make the soil more fertile? (A) by adding carbon (B) by adding nitrogen (C) by removing excess water (D) by removing excess minerals,,Train,Decomposers 增加咗土壤嘅肥力同埋防止死咗嘅生物喺環境入面積聚。分解者點樣令到土壤更加肥沃？ (A) 加碳 (B) 加氮 (C) 減少多餘嘅水份 (D) 減少多餘嘅礦物。
Mercury_7024168,7024168,1,A,1,0,Mercury,8,2015,"When oxygen combines with hydrogen, which substance is formed? (A) water (B) vinegar (C) hydrochloric acid (D) hydrogen dioxide",,Train,當氧氣同氫氣結合時，會形成咩物質？(A) 水 (B) 醋 (C) 鹽酸 (D) 過氧化氫
Mercury_7150360,7150360,1,A,1,0,Mercury,9,2015,"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration? (A) chemical energy (B) kinetic energy (C) light energy (D) heat energy",,Train,當植物進行光合作用時，會產生糖、氧氣和水。呢個反應當呼吸時，光合作用產品嘅儲存能量會變成可用能量。喺呢個能量喺被用喺呼吸之前係以咩形式存儲？（A）化學能（B）動能（C）光能（D）熱能
Mercury_7071558,7071558,1,B,1,0,Mercury,8,2015,Which of the following is a typical example of a unicellular organism? (A) earthworm (B) bacteria (C) fungi (D) green algae,,Train,邊個係一個典型嘅單細胞生物例子？(A) 蚯蚓 (B) 細菌 (C) 真菌 (D) 綠藻
Mercury_7245403,7245403,1,D,1,0,Mercury,9,2015,"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level? (A) erosion of sediment from a mountain range (B) mass extinction of marine organisms (C) formation of an ocean trench (D) melting of polar ice caps",,Train,喺地質時間裡，全球平均海平面變化好大。邊個改變最可能導致全球平均海平面升高？(A)山脈岩層嘅侵蝕 (B) 海洋生物嘅大規模滅絕 (C) 海溝嘅形成 (D) 極地冰帽嘅融化
Mercury_SC_401822,401822,1,D,1,0,Mercury,5,2015,Which body system is most responsible for the removal of waste? (A) skeletal system (B) nervous system (C) muscular system (D) excretory system,,Train,邊一個身體系統最負責垃圾嘅清除？(A) 骨骼系統 (B) 神經系統 (C) 肌肉系統 (D) 排泄系統
OHAT_2007_8_23,23,1,C,1,0,Ohio Achievement Tests,8,2007,In which environment is white fur color an advantage for survival? (A) desert (B) grassland (C) arctic tundra (D) temperate forest,,Train,(C) 冰原
Mercury_7212380,7212380,1,C,1,0,Mercury,8,2015,Which of these will best separate iron filings from sand? (A) water (B) a magnifying glass (C) a magnet (D) rubbing alcohol,,Train,邊個最啱分開鐵屑同沙？(A) 水 (B) 放大鏡 (C) 磁石 (D) 樓酒
Mercury_414132,414132,1,B,1,0,Mercury,6,2015,Which of these is the chemical symbol for magnesium? (A) Ma (B) Mg (C) Mn (D) Mu,,Train,呢啲嘢哪個係鎂嘅化學符號？(A) 馬 (B) Mg (C) Mn (D) Mu
Mercury_7121800,7121800,1,A,1,0,Mercury,7,2015,Which of the following is most likely to lead to error in an experiment? (A) bias (B) repeated trials (C) peer review (D) use of a control,,Train,邊個情況最可能導致實驗出錯？（A）偏見（B）重複試驗（C）同儕審查（D）使用對照組
MCAS_2001_8_2,2,1,A,1,0,MCAS,8,2001,Which best describes transportation technology? (A) a system that is used to move people and products (B) an enterprise that changes raw materials into goods (C) the building and finishing of structures (D) the conversion of mechanical energy into heat energy,,Train,邊個最適合咗形容運輸科技？(A)一個用嚟搬運人同物品嘅系統 (B)將原材料轉變為商品嘅企業 (C)建築同整理結構 (D)將機械能量轉化為熱能
Mercury_7121765,7121765,1,D,1,0,Mercury,7,2015,"In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy? (A) radiant energy (B) nuclear energy (C) electrical energy (D) mechanical energy",,Train,喺一部用汽油嘅汽車度，汽油嘅化學能會轉換做嘅嘢係點呀？(A) 光能 (B) 核能 (C) 電能 (D) 機械能
Mercury_7011165,7011165,1,A,1,0,Mercury,8,2015,Which characteristic is affected by interactions with the environment? (A) weight (B) eye color (C) blood type (D) handedness,,Train,哪種特徵受環境影響？(A) 體重 (B) 眼色 (C) 血型 (D) 慣用手
Mercury_7033793,7033793,1,C,1,0,Mercury,8,2015,Which is the greatest impact humans have had on the carbon cycle? (A) clear-cutting forests (B) manufacturing plastics (C) burning fossil fuels (D) growing agricultural crops,,Train,邊個影響最大嘅係人類對碳循環嘅影響？（A）砍伐森林（B）製造塑膠（C）燃燒化石燃料（D）種植農作物
Mercury_SC_400301,400301,1,D,1,0,Mercury,5,2015,The floating arrow on a compass always points towards the (A) west. (B) east. (C) south. (D) north.,,Train,指南针度西面行向，啲浮箭一向去緊(D)北面。
NYSEDREGENTS_2016_4_21,21,1,D,1,0,NYSEDREGENTS,4,2016,"Which color shirt will reflect the most light on a hot, sunny day? (A) black (B) blue (C) red (D) white",,Train,哪隻色T恤喺熱爆嘅晴天會反射最多光？(A) 黑色 (B) 藍色 (C) 紅色 (D) 白色
MCAS_2005_9_13,13,1,D,1,0,MCAS,9,2005,"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11簞C, while the temperature of the iron sample increased 23簞C. Which statement best accounts for these results? (A) Iron is twice as dense as aluminum. (B) Atoms of aluminum are smaller than atoms of iron. (C) Using equal masses results in similar heat capacities. (D) The specific heat of iron is less than that of aluminum.",,Train,一個10克鋁樣本同一個10克鐵樣本分別被100焦耳嘅能量加熱。鋁樣本嘅溫度升高11簞C，而鐵樣本嘅溫度升高23簞C。邊個敍述最能解釋呢啲結果？(A) 鐵比鋁緊兩倍。(B) 鋁嘅原子比鐵嘅原子細。(C) 用同等質量會有類似嘅熱容量。(D) 鐵嘅比熱容比鋁少。
MCAS_1999_4_31,31,1,B,1,0,MCAS,4,1999,"If its food supply in a field decreases, the mouse population in that field will probably (A) increase. (B) decrease. (C) remain the same. (D) become extinct.",,Train,如果田野食物供應減少嘅話，田野裏嘅老鼠族群可能會（A）增加。（B）減少。（C）保持不變。（D）滅絕。
Mercury_7234413,7234413,1,C,1,0,Mercury,9,2015,Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption? (A) release of carbon into the atmosphere (B) release of oxygen into the atmosphere (C) cycling phosphorus into the soil (D) cycling hydrogen into the soil,,Train,耕種過度令地球多個亞系統出現當地干擾。以下哪項是生物地球化學循環中經歷最嚴重當地干擾的一部分？(A) 將碳釋放到大氣中 (B) 將氧釋放到大氣中 (C) 將磷循環進入土壤 (D) 將氫循環進入土壤
MCAS_2007_8_5167,5167,1,D,1,0,MCAS,8,2007,Which of the following is an example of a physical change but not a chemical change? (A) A log gives off heat and light as it burns. (B) A tree stores energy from the Sun in its fruit. (C) A penny lost in the grass slowly changes color. (D) A water pipe freezes and cracks on a cold night.,,Train,以下邊個係例子係屬於一個物理變化而唔係化學變化嘅？(A)木頭燃燒時散發熱同光。(B)樹喺果實度儲存太陽能。(C)一隻仙人掌掉喺草地入面漸漸變色。(D)水管喺寒夜結冰同裂開。
Mercury_7080938,7080938,1,C,1,0,Mercury,8,2015,"While conducting an investigation on refraction, a teacher uses a red laser pointer to show how a beam of light is affected as it passes through several glass objects. The teacher should make sure that the (A) room is totally dark. (B) light source is ultraviolet. (C) beam of light does not travel toward the students. (D) room walls are shielded with insulating material.",,Train,老師喺研究折射嘅時候，用咗隻紅色嘅激光筆，解釋光線穿過好幾個玻璃物體時嘅影響。老師應該確保（A）屋內全黑，（B）光源係紫外線，（C）光線唔係朝學生方向行，（D）屋內牆壁係用隔熱材料遮蔽。
Mercury_SC_408443,408443,1,A,1,0,Mercury,4,2015,One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation? (A) the amount of fertilizer added (B) the height of the fertilized plants (C) the size of each tomato produced (D) the number of tomatoes produced,,Train,一個學生寫咗一篇報告，入面討論緊係添加肥料嘅番茄植物。邊啲資訊係最有幫助咁令第二個學生重複呢個研究? (A) 添加咗咩量肥料 (B) 添加咗肥料嘅植物嘅高度 (C) 每個番茄嘅大小 (D) 生咗幾多個番茄
VASoL_2007_3_5,5,1,B,1,0,Virginia Standards of Learning - Science,3,2007,A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock? (A) Wheel and axle (B) Lever (C) Inclined plane (D) Screw,,Train,學生想睇下一塊重石。用邊種簡單機器最好搬起嚟嗰塊石？(A) 車軸 (B) 槓桿 (C) 斜面 (D) 螺絲
Mercury_403680,403680,1,B,1,0,Mercury,7,2015,Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust? (A) iron and water (B) iron and oxygen (C) iron and air (D) iron and acid,,Train,生銹係一種化合物，化學式係Fe_{2}O_{3}。邊啲元素組成生銹？(A)鐵同水 (B)鐵同氧氣 (C)鐵同空氣 (D)鐵同酸
Mercury_400223,400223,1,B,1,0,Mercury,8,2015,The chemical equation below shows a reaction of copper (Cu) with silver nitrate (AgNO_{3}) yielding silver (Ag) and copper(II) nitrate (Cu(NO_{3})_{2}) Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} Silver and copper(II) nitrate are called the (A) reactants. (B) products. (C) catalysts. (D) inhibitors.,,Train,呢個化學反應式係話係銅（Cu）同銀硝酸（AgNO_{3}）產生銀（Ag）同硝酸銅（Cu(NO_{3})_{2}） Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} 銀同硝酸銅叫做（A）反應物。（B）生成物。（C）催化劑。（D）抑制劑。
Mercury_184625,184625,1,D,1,0,Mercury,9,2015,What role does the centromere play in cellular reproduction? (A) It is the area where microtubules are formed. (B) It is the area where the nucleus is during cell division. (C) It is the area of alignment for the chromosomes. (D) It is the area of attachment for chromatids.,,Train,喺細胞繁殖中，中心粒有咩作用？(A)係微管形成嘅地方。(B)係細胞分裂時核仔嘅位置。(C)係染色體排列嘅地方。(D)係染色分隔後嘅附着地方。
MCAS_2005_8_14,14,1,B,1,0,MCAS,8,2005,"If 1 kg of the compound toluene melts at -95簞C, then 500 g of toluene will (A) melt at -47.5簞C. (B) melt at -95簞C. (C) boil at 95簞C. (D) boil at 47.5簞C.",,Train,如果1公斤甲苯化合物在-95度熔化，咁500克甲苯就會 (A) 在-47.5度熔化。 (B) 在-95度熔化。 (C) 在95度沸騰。 (D) 在47.5度沸騰。
